frame,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z,height_ratio
0,0.0037651360034942627,-0.6313728094100952,-0.3443450629711151,0.027470216155052185,-0.6495966911315918,-0.3358955979347229,0.029924064874649048,-0.6488037109375,-0.32306766510009766,0.028187699615955353,-0.6491451859474182,-0.32800883054733276,0.0003481917083263397,-0.6575862765312195,-0.342324823141098,0.0008731745183467865,-0.6564615368843079,-0.3562738299369812,0.00469353049993515,-0.6442807912826538,-0.33511093258857727,0.10534285008907318,-0.627406895160675,-0.22805309295654297,-0.05155191197991371,-0.586269199848175,-0.20503105223178864,0.04839824140071869,-0.6151984333992004,-0.29634639620780945,0.005148816853761673,-0.5833630561828613,-0.3168858587741852,0.20904621481895447,-0.443153440952301,-0.10677822679281235,-0.11413334310054779,-0.5121463537216187,-0.012225068174302578,0.23948685824871063,-0.22567923367023468,-0.138568714261055,-0.16463123261928558,-0.22260749340057373,-0.015044935047626495,0.13291412591934204,-0.08770883083343506,-0.21482688188552856,-0.056009691208601,-0.09435775130987167,-0.13710695505142212,0.08567358553409576,-0.055136967450380325,-0.23987559974193573,0.006926499307155609,-0.053718164563179016,-0.20427513122558594,0.052981965243816376,-0.08226577192544937,-0.2556806206703186,0.06369961053133011,-0.11538263410329819,-0.21906441450119019,0.11452867835760117,-0.073267363011837,-0.22214344143867493,-0.022947978228330612,-0.10687670856714249,-0.1550048589706421,0.0932748094201088,0.007618221919983625,1.2231210348545574e-05,-0.09151765704154968,-0.009957886300981045,0.001975798513740301,0.12365752458572388,0.4133281707763672,-0.0063517154194414616,-0.10369740426540375,0.31968194246292114,0.07832519710063934,0.1478690803050995,0.7346386313438416,0.1687045842409134,-0.14965137839317322,0.7013067603111267,0.2627143859863281,0.12902119755744934,0.7673439383506775,0.18860463798046112,-0.1565447598695755,0.7343641519546509,0.24003876745700836,0.12459994107484818,0.7949815988540649,0.11929365247488022,-0.237444669008255,0.7338348031044006,0.16453921794891357,1.0
1,0.00463757012039423,-0.6262181997299194,-0.3666406571865082,0.028255565091967583,-0.6444244980812073,-0.3597557246685028,0.030640097334980965,-0.6436783075332642,-0.34695395827293396,0.028846336528658867,-0.6439394950866699,-0.3516503572463989,0.0013492170255631208,-0.6529378294944763,-0.3666979670524597,0.002031424781307578,-0.6515652537345886,-0.3808705806732178,0.0057741133496165276,-0.6396567821502686,-0.3592059314250946,0.10560900717973709,-0.6229180097579956,-0.25273585319519043,-0.049249596893787384,-0.5833706855773926,-0.23268572986125946,0.048905692994594574,-0.6107349395751953,-0.3184526860713959,0.0063171833753585815,-0.5793976783752441,-0.34027400612831116,0.20914386212825775,-0.442688912153244,-0.12097140401601791,-0.11294671893119812,-0.5120795369148254,-0.03954324126243591,0.23949669301509857,-0.22558040916919708,-0.14660179615020752,-0.16437746584415436,-0.222651407122612,-0.04980669915676117,0.13453301787376404,-0.09441070258617401,-0.22277383506298065,-0.058810099959373474,-0.09416073560714722,-0.17145700752735138,0.08740606904029846,-0.06406189501285553,-0.24841418862342834,0.0016239850083366036,-0.05310329049825668,-0.23819439113140106,0.05445638298988342,-0.09290824085474014,-0.2655489444732666,0.05686849355697632,-0.11416810005903244,-0.2520056664943695,0.11619719862937927,-0.08064262568950653,-0.23051689565181732,-0.026421092450618744,-0.10640697926282883,-0.1890842169523239,0.09334804862737656,0.007563257124274969,0.0017240907764062285,-0.09157592058181763,-0.009896609000861645,0.0003249719738960266,0.12604176998138428,0.40929698944091797,-0.009400822222232819,-0.10574256628751755,0.31453073024749756,0.05429903417825699,0.14845682680606842,0.7316239476203918,0.167033389210701,-0.14671899378299713,0.6959165334701538,0.24091169238090515,0.12936657667160034,0.7641238570213318,0.18716008961200714,-0.15252803266048431,0.7285967469215393,0.21916048228740692,0.12534154951572418,0.7930411696434021,0.11915616691112518,-0.23334936797618866,0.7285552620887756,0.1487172245979309,1.0
2,0.004831611178815365,-0.6217010617256165,-0.3726804256439209,0.028394527733325958,-0.6400854587554932,-0.36658668518066406,0.03075123019516468,-0.6394283771514893,-0.353741317987442,0.028949616476893425,-0.6396122574806213,-0.35833120346069336,0.001607039594091475,-0.6488593220710754,-0.37327370047569275,0.0023308503441512585,-0.6473762392997742,-0.3873897194862366,0.00605262815952301,-0.6355003118515015,-0.36573684215545654,0.10565318167209625,-0.620011031627655,-0.2601976692676544,-0.048088885843753815,-0.5809584259986877,-0.23939721286296844,0.049035508185625076,-0.6068591475486755,-0.3245548903942108,0.006786332931369543,-0.5756593346595764,-0.34612974524497986,0.20930224657058716,-0.442141056060791,-0.12675487995147705,-0.11184822767972946,-0.5120822787284851,-0.04342765733599663,0.23960062861442566,-0.2253156453371048,-0.14888890087604523,-0.16418245434761047,-0.22280672192573547,-0.054055873304605484,0.1351432204246521,-0.09664127230644226,-0.22259284555912018,-0.06604817509651184,-0.09410619735717773,-0.17746107280254364,0.08791971206665039,-0.06696934252977371,-0.2481478452682495,-0.00928132701665163,-0.052933596074581146,-0.24403385818004608,0.054757364094257355,-0.09618482738733292,-0.26534125208854675,0.04405203089118004,-0.11316756159067154,-0.25814396142959595,0.1167716458439827,-0.08308269083499908,-0.23032960295677185,-0.03495718911290169,-0.10605785995721817,-0.19535697996616364,0.0933603048324585,0.0075736865401268005,0.0019888279493898153,-0.09158232063055038,-0.00990196131169796,8.23352747829631e-05,0.12723234295845032,0.40801262855529785,-0.01576227881014347,-0.10755682736635208,0.31307244300842285,0.0507582388818264,0.14866895973682404,0.730680525302887,0.15996532142162323,-0.14584021270275116,0.6938030123710632,0.23809340596199036,0.12944310903549194,0.7630393505096436,0.18009412288665771,-0.15139329433441162,0.7263966202735901,0.21637237071990967,0.12533621490001678,0.79273521900177,0.11377494782209396,-0.23266218602657318,0.72613924741745,0.146882563829422,1.0
3,0.00567062571644783,-0.6186563372612,-0.3767549991607666,0.029192689806222916,-0.6369924545288086,-0.3710707128047943,0.03150991350412369,-0.6363077759742737,-0.35826030373573303,0.029688915237784386,-0.6364651918411255,-0.36272525787353516,0.00284873996861279,-0.6459354162216187,-0.3774190843105316,0.0036314078606665134,-0.6443696618080139,-0.39144545793533325,0.007355759851634502,-0.6324851512908936,-0.3698282837867737,0.10632769763469696,-0.6170340776443481,-0.266555517911911,-0.04484053701162338,-0.5787034630775452,-0.24427007138729095,0.04975833371281624,-0.6038563251495361,-0.32925090193748474,0.008263438008725643,-0.5728543996810913,-0.35034745931625366,0.20995210111141205,-0.4405287802219391,-0.13521195948123932,-0.1099652498960495,-0.5118146538734436,-0.045642126351594925,0.2412162572145462,-0.2241099625825882,-0.15485870838165283,-0.1639898419380188,-0.2224351167678833,-0.052510760724544525,0.13589712977409363,-0.09651986509561539,-0.22344060242176056,-0.07035858929157257,-0.08853784948587418,-0.17380864918231964,0.08837538957595825,-0.06672578305006027,-0.2487403303384781,-0.01484368834644556,-0.045350685715675354,-0.23993413150310516,0.054754745215177536,-0.09593424946069717,-0.26603183150291443,0.03797562047839165,-0.10287602245807648,-0.2544439136981964,0.11717751622200012,-0.08296927809715271,-0.23106355965137482,-0.03958698362112045,-0.09883596748113632,-0.19186702370643616,0.09335505962371826,0.007573919836431742,0.002017574617639184,-0.0915660560131073,-0.00990008283406496,4.9426627811044455e-05,0.12999019026756287,0.40584617853164673,-0.026368318125605583,-0.1079656258225441,0.3125978410243988,0.04734059423208237,0.14948301017284393,0.7303691506385803,0.14984293282032013,-0.14322848618030548,0.6936855316162109,0.23539774119853973,0.13007351756095886,0.7627344727516174,0.17008277773857117,-0.14829547703266144,0.7262721657752991,0.213849276304245,0.12555626034736633,0.792698860168457,0.10508748888969421,-0.22930893301963806,0.7260333895683289,0.14489148557186127,1.0
4,0.0067516593262553215,-0.6169609427452087,-0.37917667627334595,0.029959727078676224,-0.6352976560592651,-0.37407463788986206,0.03225370869040489,-0.6345530152320862,-0.36128392815589905,0.030430082231760025,-0.6347467303276062,-0.3657872974872589,0.004062206018716097,-0.644221842288971,-0.38040658831596375,0.0049274214543402195,-0.6425867676734924,-0.39433279633522034,0.008635635487735271,-0.6307143568992615,-0.37274572253227234,0.10654275119304657,-0.6155939698219299,-0.2718508243560791,-0.042283449321985245,-0.577032208442688,-0.2492150068283081,0.05063576623797417,-0.6024842858314514,-0.33224719762802124,0.010061679407954216,-0.5712846517562866,-0.3533012866973877,0.2104915976524353,-0.44003722071647644,-0.1410110592842102,-0.10875356942415237,-0.511468231678009,-0.049755729734897614,0.24263086915016174,-0.22352178394794464,-0.15831175446510315,-0.16435980796813965,-0.22120973467826843,-0.056992556899785995,0.137452632188797,-0.09497856348752975,-0.22330380976200104,-0.07687505334615707,-0.08047957718372345,-0.1770324409008026,0.08979284018278122,-0.06459464877843857,-0.24857202172279358,-0.02262365259230137,-0.03578628972172737,-0.24256089329719543,0.05505498871207237,-0.09314015507698059,-0.26578694581985474,0.030165452510118484,-0.09096542000770569,-0.2574443221092224,0.11827601492404938,-0.08099686354398727,-0.23089830577373505,-0.04623406007885933,-0.08933112770318985,-0.19537478685379028,0.09335269033908844,0.007547595538198948,0.0022402347531169653,-0.09155263751745224,-0.009872792288661003,-0.00019011364202015102,0.13331054151058197,0.4055657982826233,-0.028258102014660835,-0.109130859375,0.31220391392707825,0.03960191458463669,0.15075895190238953,0.7313657999038696,0.14348989725112915,-0.1404077112674713,0.6939103007316589,0.22245079278945923,0.131206214427948,0.7637542486190796,0.16299967467784882,-0.14478808641433716,0.7265146970748901,0.20026549696922302,0.12838438153266907,0.7927111387252808,0.09716483950614929,-0.22510142624378204,0.7260947823524475,0.13013005256652832,1.0035971223021583
5,0.006732968147844076,-0.6172202229499817,-0.37751343846321106,0.02993554249405861,-0.6355510950088501,-0.37244999408721924,0.03222542256116867,-0.634788990020752,-0.35972848534584045,0.030396517366170883,-0.6349911689758301,-0.3642209470272064,0.004136465489864349,-0.6444253325462341,-0.3785596489906311,0.005011888686567545,-0.6428057551383972,-0.3924102783203125,0.008743703365325928,-0.6309221386909485,-0.3708970546722412,0.10651201754808426,-0.6154032945632935,-0.27220073342323303,-0.04046632722020149,-0.5768545866012573,-0.2478773444890976,0.0506315641105175,-0.6026370525360107,-0.33110374212265015,0.010330729186534882,-0.5713987350463867,-0.35179969668388367,0.21061719954013824,-0.4396268427371979,-0.1434197574853897,-0.10791375488042831,-0.5114405751228333,-0.04873249679803848,0.24438202381134033,-0.22316864132881165,-0.16062399744987488,-0.16567637026309967,-0.22109976410865784,-0.0551769956946373,0.1399787813425064,-0.0939919725060463,-0.22318193316459656,-0.08618386834859848,-0.0771096721291542,-0.17547959089279175,0.09242312610149384,-0.063378244638443,-0.24824310839176178,-0.03382095322012901,-0.03210138529539108,-0.2407325655221939,0.056274332106113434,-0.09128835797309875,-0.265623539686203,0.018488286063075066,-0.08580122888088226,-0.25588494539260864,0.12032395601272583,-0.0797344297170639,-0.23077985644340515,-0.05605505779385567,-0.08512607961893082,-0.19391855597496033,0.09335125982761383,0.007541033439338207,0.002288523130118847,-0.09154021739959717,-0.009861891157925129,-0.00024563659098930657,0.13698479533195496,0.40236032009124756,-0.04213753342628479,-0.11370879411697388,0.3100634217262268,0.025980018079280853,0.1520145982503891,0.7311261296272278,0.12796756625175476,-0.13880163431167603,0.6930906772613525,0.21098975837230682,0.13226063549518585,0.7634873986244202,0.14727017283439636,-0.142629936337471,0.7256009578704834,0.18911276757717133,0.1298808604478836,0.7900810241699219,0.08100990951061249,-0.2232392430305481,0.7237100601196289,0.12032107263803482,1.0035971223021583
6,0.0066798110492527485,-0.6164242029190063,-0.3766697347164154,0.02988162264227867,-0.6348837018013,-0.37193891406059265,0.032175928354263306,-0.6340692639350891,-0.3592820465564728,0.030339360237121582,-0.6342722773551941,-0.36373165249824524,0.004176980350166559,-0.6436887979507446,-0.3777782618999481,0.005057282745838165,-0.642073929309845,-0.39152517914772034,0.008817085064947605,-0.6301663517951965,-0.3700759708881378,0.1065078005194664,-0.6148048639297485,-0.27348247170448303,-0.038976892828941345,-0.5763489603996277,-0.2474782019853592,0.05062359198927879,-0.6019963622093201,-0.3307008743286133,0.010587744414806366,-0.5706773400306702,-0.3510047495365143,0.21093177795410156,-0.43921029567718506,-0.14494597911834717,-0.10676821321249008,-0.511486828327179,-0.04780789837241173,0.2461899071931839,-0.22143632173538208,-0.1622469127178192,-0.16951057314872742,-0.22116467356681824,-0.05381103977560997,0.14119192957878113,-0.08738294988870621,-0.22287578880786896,-0.10740740597248077,-0.07431590557098389,-0.1742042750120163,0.09353546798229218,-0.055062975734472275,-0.2472166270017624,-0.06000436842441559,-0.02885899320244789,-0.2392617166042328,0.056306734681129456,-0.08119191974401474,-0.2649378478527069,-0.008095568045973778,-0.07965932041406631,-0.25471100211143494,0.12087859213352203,-0.07200665771961212,-0.23041976988315582,-0.07847744226455688,-0.08089513331651688,-0.1928127557039261,0.09334100782871246,0.007540441118180752,0.002272614510729909,-0.09151323139667511,-0.009859930723905563,-0.00023206901096273214,0.14103201031684875,0.40009254217147827,-0.052678342908620834,-0.11576215922832489,0.3096647262573242,0.01805884577333927,0.15402181446552277,0.7310411334037781,0.11775796860456467,-0.1357680857181549,0.6930138468742371,0.20153146982192993,0.13396520912647247,0.7634251713752747,0.13706673681735992,-0.1391281634569168,0.7254859805107117,0.17961454391479492,0.1317666918039322,0.7899001836776733,0.07205319404602051,-0.22074243426322937,0.7233799695968628,0.11210794746875763,1.0035971223021583
7,0.006497419439256191,-0.6162309646606445,-0.3768320679664612,0.029691573232412338,-0.6347814798355103,-0.372300386428833,0.031994257122278214,-0.6339372396469116,-0.3597431182861328,0.030143488198518753,-0.6341312527656555,-0.3641081750392914,0.004138218704611063,-0.6434683799743652,-0.377968430519104,0.005023512989282608,-0.641871452331543,-0.3915790617465973,0.00879895593971014,-0.629950761795044,-0.37021252512931824,0.10648704320192337,-0.6146151423454285,-0.27442461252212524,-0.03866463899612427,-0.5761033296585083,-0.24753735959529877,0.05055186524987221,-0.601786732673645,-0.3310962915420532,0.010618558153510094,-0.5703751444816589,-0.3510901629924774,0.21126019954681396,-0.43918752670288086,-0.14573444426059723,-0.10661336034536362,-0.5114043951034546,-0.04770331829786301,0.24935585260391235,-0.2214423418045044,-0.16378501057624817,-0.1737852245569229,-0.22117610275745392,-0.05282581225037575,0.1428750455379486,-0.08500474691390991,-0.22306972742080688,-0.12427428364753723,-0.06940246373414993,-0.1732468605041504,0.095279261469841,-0.05135655775666237,-0.24714389443397522,-0.07992015779018402,-0.022770311683416367,-0.23860368132591248,0.056401755660772324,-0.07612305134534836,-0.26492923498153687,-0.02828097902238369,-0.06985434144735336,-0.2539534270763397,0.12163907289505005,-0.06878002732992172,-0.23056374490261078,-0.09600651264190674,-0.0740591287612915,-0.19168663024902344,0.09349601715803146,0.007531940937042236,0.002339249476790428,-0.09162188321352005,-0.009851787239313126,-0.0003009480715263635,0.14161519706249237,0.3994970917701721,-0.058285217732191086,-0.1176263689994812,0.3096562922000885,0.008589094504714012,0.1542012244462967,0.7307021021842957,0.11849012225866318,-0.1344921886920929,0.6930170059204102,0.19462518393993378,0.13407398760318756,0.7630627751350403,0.13837146759033203,-0.13757099211215973,0.725448727607727,0.1732930988073349,0.1317131221294403,0.7897278070449829,0.07285947352647781,-0.21695837378501892,0.7235028147697449,0.10383310914039612,1.0035971223021583
8,0.006110993679612875,-0.6163755655288696,-0.3762489855289459,0.029405435547232628,-0.6348939538002014,-0.3714381456375122,0.03171823173761368,-0.6340636014938354,-0.3588676452636719,0.02986246906220913,-0.6342622637748718,-0.36325761675834656,0.004093317314982414,-0.643578052520752,-0.3772016763687134,0.004965126980096102,-0.6419917345046997,-0.39088955521583557,0.008771399036049843,-0.6300764679908752,-0.36949265003204346,0.10650501400232315,-0.6146767139434814,-0.2739253640174866,-0.037704985588788986,-0.5762190222740173,-0.24636907875537872,0.05041177198290825,-0.6018839478492737,-0.3303014636039734,0.010631495155394077,-0.5704694390296936,-0.3504340648651123,0.21166150271892548,-0.4394684135913849,-0.14624924957752228,-0.10567498952150345,-0.5117680430412292,-0.04705546051263809,0.2522471249103546,-0.22211842238903046,-0.16456013917922974,-0.17641478776931763,-0.22251014411449432,-0.04991110414266586,0.1465016007423401,-0.08252723515033722,-0.22243747115135193,-0.1332104504108429,-0.06707378476858139,-0.16382773220539093,0.0996057391166687,-0.047618523240089417,-0.24547070264816284,-0.0904131680727005,-0.019669219851493835,-0.2255401611328125,0.058427561074495316,-0.07033079117536545,-0.26354530453681946,-0.03897414728999138,-0.064332015812397,-0.24347767233848572,0.12445743381977081,-0.06528010964393616,-0.22981718182563782,-0.10540661215782166,-0.07055540382862091,-0.18300072848796844,0.09350177645683289,0.007532693911343813,0.002217687200754881,-0.0916183814406395,-0.00985287968069315,-0.00019605972920544446,0.14205093681812286,0.3988272249698639,-0.06318467855453491,-0.11761961877346039,0.30964258313179016,0.011404025368392467,0.1543431282043457,0.7300295829772949,0.11847736686468124,-0.12844038009643555,0.6927472949028015,0.19730693101882935,0.13416774570941925,0.7622880935668945,0.1388351321220398,-0.1308642476797104,0.7250434756278992,0.17591017484664917,0.13163502514362335,0.788861095905304,0.07445161789655685,-0.20889656245708466,0.7235147953033447,0.10731974989175797,1.0035971223021583
9,0.002430987311527133,-0.6164694428443909,-0.37406495213508606,0.026579950004816055,-0.6350171566009521,-0.37098968029022217,0.029029304161667824,-0.634185791015625,-0.3585037589073181,0.02720678225159645,-0.6343852281570435,-0.36285200715065,0.0024048539344221354,-0.6436845064163208,-0.3755386173725128,0.003235994139686227,-0.6421071887016296,-0.3889116048812866,0.00713343545794487,-0.6301844120025635,-0.367687851190567,0.10626924782991409,-0.6148084998130798,-0.2743210792541504,-0.03649890050292015,-0.5764445066452026,-0.24515455961227417,0.04807770997285843,-0.6019704341888428,-0.3298172354698181,0.009489323012530804,-0.5705321431159973,-0.3479846715927124,0.21175499260425568,-0.44033944606781006,-0.14861898124217987,-0.10304492712020874,-0.512785792350769,-0.04103034362196922,0.25588756799697876,-0.22344626486301422,-0.16848568618297577,-0.17940902709960938,-0.22583912312984467,-0.03417859971523285,0.14904290437698364,-0.08021854609251022,-0.22238969802856445,-0.14642517268657684,-0.0649096891283989,-0.14185087382793427,0.10260450839996338,-0.04418119788169861,-0.24488751590251923,-0.10599575936794281,-0.01628516986966133,-0.20034830272197723,0.05978814885020256,-0.06549239903688431,-0.26274973154067993,-0.05513845384120941,-0.058448225259780884,-0.22118224203586578,0.1264994591474533,-0.06222189962863922,-0.22962132096290588,-0.11925007402896881,-0.06724283844232559,-0.16214624047279358,0.09337744861841202,0.007533214520663023,0.0007802527979947627,-0.09143687039613724,-0.009862866252660751,0.001131056691519916,0.1418067067861557,0.3989427983760834,-0.05951884388923645,-0.1194416731595993,0.3089340329170227,0.008782305754721165,0.15575337409973145,0.7300007939338684,0.1206057071685791,-0.12043020129203796,0.6922871470451355,0.18638581037521362,0.13575704395771027,0.7622522115707397,0.14077876508235931,-0.12144362181425095,0.7243720889091492,0.16433951258659363,0.13189274072647095,0.7887912392616272,0.07644828408956528,-0.19939370453357697,0.723750114440918,0.09863941371440887,1.0035971223021583
