frame,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z,height_ratio
0,-0.007577941,-0.616651058,-0.396850616,0.009142071,-0.637832105,-0.385865808,0.011658922,-0.636967957,-0.373548239,0.010585435,-0.637228191,-0.377043247,-0.016562387,-0.642845631,-0.400851995,-0.015715882,-0.641560137,-0.413657308,-0.008746684,-0.629498541,-0.393209785,0.068587713,-0.627998114,-0.263659269,-0.080179274,-0.566171825,-0.276022047,0.028657861,-0.608671367,-0.337955028,-0.005324014,-0.570607662,-0.370477527,0.176260084,-0.45473507,-0.104625955,-0.16514203,-0.499556035,-0.067589313,0.212784544,-0.238047779,-0.043267328,-0.182224199,-0.205116287,-0.048816588,0.237531692,-0.015236997,-0.032063805,-0.235532969,0.014774301,-0.119114012,0.228691086,0.033747621,-0.027951252,-0.225784719,0.060587652,-0.163833693,0.200595185,0.041430026,-0.059284735,-0.201391965,0.040277295,-0.193579271,0.231241509,0.016201025,-0.04216779,-0.222762033,0.02169247,-0.141859591,0.10656219,0.002674109,0.029775316,-0.104758918,-0.005505581,-0.028812626,0.161444277,0.404395819,0.01009699,-0.079372689,0.336145222,-0.011834232,0.18492125,0.751755297,0.177080691,-0.090434708,0.725103438,0.177547887,0.165823326,0.789631844,0.195043579,-0.094345868,0.758458257,0.154600039,0.17813769,0.800298572,0.108985625,-0.127077967,0.755315304,0.048135754,1
1,-0.015247735,-0.617818475,-0.385938585,0.002142737,-0.63854897,-0.375547916,0.004827203,-0.63773936,-0.363198847,0.003333648,-0.637836814,-0.366822779,-0.023248924,-0.644099057,-0.388043821,-0.022641014,-0.642768979,-0.400371641,-0.016583901,-0.630627751,-0.379940063,0.066297442,-0.627742231,-0.257359177,-0.08514066,-0.569055796,-0.260885537,0.023543268,-0.609165251,-0.330071926,-0.013130198,-0.571661413,-0.359153569,0.171425626,-0.454922676,-0.102947101,-0.163799435,-0.501122296,-0.062833555,0.20574899,-0.241882727,-0.040800966,-0.186462879,-0.208254665,-0.047880825,0.235981256,-0.015693936,-0.018441087,-0.235799134,0.008863213,-0.119090237,0.228608668,0.032233641,-0.011335503,-0.225667998,0.054230656,-0.164348006,0.201794729,0.041139558,-0.044215858,-0.197786197,0.034866031,-0.193557665,0.230541855,0.016177798,-0.029202929,-0.222650915,0.015679458,-0.141698718,0.105123095,0.00255087,0.029273922,-0.103220217,-0.00533911,-0.028051132,0.150967151,0.405361921,0.019552834,-0.076234616,0.335474044,-0.003239758,0.17517814,0.750082314,0.206709787,-0.098318711,0.725558519,0.184412181,0.15718551,0.786837518,0.227455273,-0.103538059,0.759161294,0.161738381,0.175500825,0.79473424,0.159990773,-0.141464397,0.755355418,0.061723661,1
2,-0.017025288,-0.618052483,-0.384491235,0.000382893,-0.638646126,-0.374131709,0.003100984,-0.637854695,-0.361769974,0.001546072,-0.637911022,-0.365437597,-0.024819065,-0.644312024,-0.386441499,-0.024218636,-0.642980814,-0.398784369,-0.018473949,-0.630834043,-0.378246516,0.065143771,-0.626931489,-0.256491572,-0.086835295,-0.56959188,-0.259433866,0.022106638,-0.609176159,-0.329174101,-0.015294033,-0.571795046,-0.357987881,0.168780848,-0.454906464,-0.102988228,-0.163158625,-0.501097381,-0.062603496,0.20396015,-0.243182704,-0.041340955,-0.187654883,-0.208371535,-0.050419524,0.236010104,-0.016456248,-0.018872473,-0.235234827,0.005613273,-0.127229825,0.229726389,0.030555559,-0.012043447,-0.223679125,0.050539374,-0.175836116,0.204635069,0.040185403,-0.044723675,-0.192539319,0.0306974,-0.203158811,0.230702132,0.015946144,-0.029702118,-0.220927343,0.012025871,-0.149544641,0.10419824,0.002311555,0.028846759,-0.102248512,-0.005082904,-0.027411671,0.146973431,0.40855971,0.022535233,-0.073225051,0.335336924,-0.000249592,0.170747414,0.750070751,0.215650529,-0.099742725,0.727270603,0.184293449,0.152990744,0.786626697,0.23701261,-0.105107903,0.761254907,0.161539093,0.174568668,0.794424534,0.172337472,-0.144970834,0.756246448,0.06194213,1
3,-0.017972434,-0.619916022,-0.368461758,-0.000860658,-0.640347719,-0.357843906,0.001941441,-0.639716208,-0.345548183,0.000367816,-0.639611721,-0.349369735,-0.025907854,-0.646185219,-0.370400637,-0.025344864,-0.644830525,-0.382651508,-0.019741751,-0.632707,-0.36220637,0.063530125,-0.627649844,-0.240299329,-0.088844307,-0.572345674,-0.244323462,0.021225024,-0.610691607,-0.313687176,-0.016691877,-0.573539793,-0.342504263,0.165960148,-0.456273884,-0.092341162,-0.162882417,-0.50293839,-0.052501157,0.201677442,-0.247430667,-0.035342574,-0.188060939,-0.212369964,-0.046771225,0.236489624,-0.024870444,-0.017047422,-0.229829982,-0.000521007,-0.126684368,0.23210685,0.019962434,-0.011351872,-0.214794114,0.045277435,-0.175265282,0.208591431,0.029938933,-0.044256229,-0.180347264,0.025042882,-0.202967688,0.231642023,0.008223969,-0.028399365,-0.213262394,0.005656326,-0.148718402,0.103332907,0.002136686,0.028670037,-0.101301529,-0.004880404,-0.027143285,0.144136235,0.408780605,0.023795201,-0.071842313,0.334165037,-0.00059706,0.1682069,0.749293149,0.216059878,-0.100705095,0.727284312,0.183434889,0.150445655,0.78537786,0.237258881,-0.106089547,0.761308849,0.160464436,0.174224481,0.791712403,0.17282638,-0.146047771,0.755988717,0.06139664,1
4,-0.019315824,-0.620170355,-0.364824146,-0.002334492,-0.6405617,-0.354372948,0.000565223,-0.639979422,-0.342121482,-0.00102958,-0.639832139,-0.345980972,-0.027272845,-0.646469474,-0.367146671,-0.026668053,-0.645085633,-0.379391789,-0.02124149,-0.633007407,-0.358932555,0.062220134,-0.627722025,-0.236302525,-0.090367183,-0.573302865,-0.240636915,0.019965431,-0.610905766,-0.309707522,-0.018343329,-0.573831499,-0.338689357,0.163806364,-0.457638532,-0.087746277,-0.162812516,-0.503528357,-0.048490081,0.200763956,-0.252360582,-0.033952903,-0.190145403,-0.213074699,-0.044530507,0.237212643,-0.037554432,-0.018018104,-0.225037664,-0.001958751,-0.126536489,0.234152809,0.004635655,-0.014211351,-0.206138417,0.044078827,-0.174901485,0.211837664,0.013514094,-0.047378093,-0.169917703,0.022978695,-0.202579185,0.232882291,-0.00490071,-0.030062759,-0.206571698,0.003765906,-0.148487717,0.102783069,0.00196023,0.028517546,-0.100688614,-0.004685929,-0.026915083,0.140908942,0.41044569,0.023394467,-0.071271703,0.334114969,-0.001093108,0.166602388,0.75021857,0.21329011,-0.102777272,0.729874134,0.17652227,0.148821041,0.786039829,0.234136745,-0.108285472,0.764327347,0.152791202,0.172507271,0.791953325,0.167670235,-0.148734123,0.757398367,0.05575316,1
5,-0.020863505,-0.621598542,-0.351915449,-0.003948397,-0.641954064,-0.341281801,-0.000957031,-0.641523778,-0.329057842,-0.002571525,-0.641266406,-0.333045512,-0.028889582,-0.64806664,-0.354266167,-0.028301308,-0.646632135,-0.366421133,-0.0229882,-0.63465184,-0.346091181,0.060516946,-0.628949225,-0.22247532,-0.092582934,-0.576016903,-0.227485269,0.018424422,-0.612366498,-0.296679735,-0.020357696,-0.575415194,-0.325650573,0.161043018,-0.46087569,-0.075447291,-0.162841335,-0.505061567,-0.037782129,0.199468032,-0.258338869,-0.026138999,-0.190423474,-0.215042025,-0.038303126,0.237270832,-0.047130518,-0.017288875,-0.218319789,-0.00573669,-0.124453589,0.234619394,-0.005398776,-0.014222805,-0.197101489,0.04038867,-0.174463078,0.212780893,0.003717588,-0.047278341,-0.16007939,0.018621745,-0.201005399,0.233143881,-0.014477662,-0.029456262,-0.19882752,-0.000454393,-0.14577958,0.10222619,0.001734919,0.028344432,-0.100055903,-0.004421627,-0.026661105,0.138732255,0.411020428,0.022923231,-0.071335487,0.333432287,-0.002161396,0.165162936,0.7509045,0.211388737,-0.104220405,0.730425775,0.172501355,0.147314861,0.786604524,0.231874198,-0.109625325,0.765049875,0.148369074,0.171846434,0.792098641,0.163362667,-0.150870055,0.757424653,0.053342305,1
6,-0.020729426,-0.619338632,-0.355894357,-0.003826251,-0.639865756,-0.34529072,-0.000827002,-0.639437497,-0.333047003,-0.002425277,-0.639163733,-0.336952865,-0.028754948,-0.646146834,-0.35845983,-0.028153289,-0.644625366,-0.370705575,-0.022797702,-0.632733345,-0.350337654,0.060563408,-0.627858162,-0.226189464,-0.092408925,-0.575838923,-0.231770858,0.018515171,-0.610601068,-0.300228447,-0.020141941,-0.573854029,-0.329525024,0.161271498,-0.460928261,-0.07742583,-0.161917403,-0.505468249,-0.038902581,0.199630171,-0.25928399,-0.026535595,-0.189216927,-0.214931518,-0.037006155,0.238192737,-0.047137186,-0.01768701,-0.214505464,-0.005090667,-0.122383788,0.236262634,-0.00521851,-0.014684726,-0.193557069,0.040981367,-0.172862515,0.214213014,0.004098333,-0.047818113,-0.158572599,0.019370556,-0.199399158,0.234231517,-0.014358413,-0.029673353,-0.195395842,0.00032726,-0.143735558,0.101875037,0.001707808,0.02831509,-0.099669755,-0.004383237,-0.026619118,0.138628647,0.411847085,0.021740874,-0.070020005,0.333442837,-0.003818495,0.165650606,0.753122687,0.210970253,-0.104014292,0.732034504,0.167298183,0.147738531,0.788777828,0.231506839,-0.109370507,0.76681298,0.142760634,0.172711298,0.792992294,0.160511166,-0.150181785,0.757708371,0.048359353,1.004385965
7,-0.021270096,-0.617839217,-0.357570976,-0.004452454,-0.638446033,-0.346358985,-0.001382379,-0.637974203,-0.334128529,-0.00301002,-0.637712836,-0.337941974,-0.029294336,-0.644883096,-0.359862775,-0.028648756,-0.643294156,-0.372234583,-0.023325918,-0.631470859,-0.351916432,0.060094051,-0.626476526,-0.227181762,-0.092720583,-0.575340092,-0.233182833,0.018014459,-0.609326363,-0.301369041,-0.020546272,-0.572660625,-0.331166118,0.161052585,-0.460685253,-0.077890322,-0.161910295,-0.505551159,-0.03946821,0.199088648,-0.258867443,-0.027034124,-0.190223217,-0.21501179,-0.037137352,0.237912998,-0.043182895,-0.016212398,-0.215382442,-0.004621711,-0.121914916,0.236044332,-0.001427808,-0.01264226,-0.195402354,0.041442726,-0.172519147,0.214059249,0.008365907,-0.045681123,-0.161154166,0.019869832,-0.198690876,0.234034881,-0.009930256,-0.028068446,-0.196739793,0.000840057,-0.143219769,0.101644598,0.001674023,0.02830058,-0.099425264,-0.004338523,-0.026597757,0.138829932,0.412596047,0.021545487,-0.069858842,0.333171338,-0.008217677,0.165626034,0.753975928,0.210553274,-0.103846341,0.732780635,0.1551148,0.147798479,0.789539278,0.230798081,-0.109161414,0.767644823,0.12981768,0.173037261,0.793088794,0.15880321,-0.15009208,0.757730842,0.032229241,1.013157895
8,-0.021927852,-0.617050231,-0.362979114,-0.00517551,-0.637666821,-0.352379113,-0.002132295,-0.637160361,-0.340111673,-0.003765195,-0.636892438,-0.343902618,-0.03000113,-0.644060969,-0.36554423,-0.02931769,-0.642476559,-0.377859741,-0.024032375,-0.630658627,-0.357387632,0.059361655,-0.625145853,-0.234011143,-0.093405627,-0.574375331,-0.238766581,0.017306199,-0.608351052,-0.307227403,-0.021164827,-0.571727753,-0.336640477,0.159923777,-0.460135698,-0.083753191,-0.161999598,-0.50462842,-0.04403523,0.197240487,-0.258154571,-0.030875556,-0.193069011,-0.213392258,-0.040685549,0.23425056,-0.042777035,-0.019177873,-0.218019456,-0.003228164,-0.123560615,0.231704623,-0.000276164,-0.01555203,-0.19717288,0.042324852,-0.174151689,0.210348383,0.009682234,-0.048383139,-0.16198507,0.020457586,-0.200195715,0.230481297,-0.009634351,-0.031073596,-0.199145496,0.001923081,-0.14496012,0.101463437,0.001606468,0.028230621,-0.099250287,-0.004268281,-0.026502239,0.138475746,0.413559765,0.020697318,-0.0698708,0.333187938,-0.008868506,0.164832145,0.754483342,0.209228471,-0.105247259,0.733217418,0.156614408,0.147027582,0.789998233,0.229321912,-0.11078655,0.768057883,0.131499901,0.172144234,0.794474125,0.157851696,-0.151531324,0.758772194,0.033502169,1.013157895
9,-0.022424247,-0.616998553,-0.363892376,-0.005757276,-0.637603164,-0.353570461,-0.002708134,-0.637106717,-0.341317892,-0.004348768,-0.636830389,-0.345142514,-0.030600404,-0.643954337,-0.3665815,-0.029929379,-0.64237082,-0.378791302,-0.024643309,-0.63054961,-0.358339459,0.059026401,-0.624948084,-0.235279739,-0.094023824,-0.574016571,-0.239035174,0.016952919,-0.608244061,-0.308334589,-0.02152003,-0.571576297,-0.337402791,0.15979664,-0.459967345,-0.083998151,-0.162116379,-0.504572213,-0.044601519,0.196473196,-0.257735461,-0.030974587,-0.201095968,-0.21451813,-0.038525824,0.232612625,-0.041944485,-0.019329049,-0.230722442,-0.00797465,-0.11910902,0.22932829,0.000525226,-0.015661879,-0.210716471,0.035913654,-0.169766799,0.208525226,0.009732265,-0.048489559,-0.17506282,0.01367038,-0.19574137,0.228847072,-0.009126979,-0.031180637,-0.212083608,-0.003358549,-0.140525416,0.101403289,0.001591463,0.028094221,-0.099190332,-0.004252428,-0.026346624,0.138477758,0.414547443,0.019801272,-0.069939129,0.33318758,-0.009547456,0.164430663,0.754715204,0.208289698,-0.105466872,0.733247459,0.156891033,0.146584138,0.790171862,0.228296265,-0.111029945,0.768068433,0.132195801,0.171686873,0.794671297,0.157410815,-0.152386233,0.75890553,0.035686493,1.013157895
