frame,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z,height_ratio
0,0.03576166555285454,-0.6306033730506897,-0.35341763496398926,0.04988517612218857,-0.6464396119117737,-0.34063440561294556,0.05009888857603073,-0.6466341018676758,-0.32972538471221924,0.04953548684716225,-0.6464895009994507,-0.3320613503456116,0.025758272036910057,-0.6574741005897522,-0.35628393292427063,0.02549273893237114,-0.6557681560516357,-0.36988845467567444,0.03015790320932865,-0.6436994075775146,-0.3490060567855835,0.09768355637788773,-0.6270024180412292,-0.22139394283294678,-0.04671443998813629,-0.5869213342666626,-0.24582774937152863,0.06797797977924347,-0.6175057888031006,-0.2989230751991272,0.029639532789587975,-0.5852738618850708,-0.33323925733566284,0.17612062394618988,-0.48098617792129517,-0.06618351489305496,-0.10202272981405258,-0.5247744917869568,-0.09669343382120132,0.22506463527679443,-0.28402242064476013,-0.010802865028381348,-0.13090664148330688,-0.2384157031774521,-0.12350674718618393,0.24594497680664062,-0.08936809748411179,-0.003188658971339464,-0.15945345163345337,-0.06398165971040726,-0.21251532435417175,0.2383609563112259,-0.06008720025420189,0.002992807887494564,-0.14512278139591217,-0.03854752331972122,-0.2746235132217407,0.21182309091091156,-0.05491204932332039,-0.024150123819708824,-0.11192195117473602,-0.07321969419717789,-0.28757810592651367,0.239814892411232,-0.06004314869642258,-0.009641620330512524,-0.1438213288784027,-0.06655305624008179,-0.2278326451778412,0.0877251997590065,-0.0009448053315281868,0.04835067689418793,-0.08607850223779678,-0.002220864873379469,-0.04557134956121445,0.12998457252979279,0.3269532322883606,0.20980684459209442,-0.1039062887430191,0.25774863362312317,0.055434443056583405,0.16180402040481567,0.6102437973022461,0.42769137024879456,-0.16769768297672272,0.5760666728019714,0.30117782950401306,0.14637407660484314,0.6443477869033813,0.4563153386116028,-0.17132894694805145,0.6011611223220825,0.2898234724998474,0.18957172334194183,0.6578993201255798,0.4111331105232239,-0.1697850078344345,0.6181591749191284,0.21279805898666382,1.0
1,0.036411792039871216,-0.6312920451164246,-0.33990076184272766,0.05034051463007927,-0.6493940949440002,-0.325493723154068,0.05090121552348137,-0.649486243724823,-0.3143447935581207,0.050276122987270355,-0.649340033531189,-0.3175899386405945,0.026085510849952698,-0.6591484546661377,-0.34420961141586304,0.025926942005753517,-0.6575872302055359,-0.35736531019210815,0.030594132840633392,-0.6454814672470093,-0.3368966281414032,0.09551972150802612,-0.6341811418533325,-0.20237287878990173,-0.05148575082421303,-0.5899365544319153,-0.2366541028022766,0.06797891110181808,-0.6189717650413513,-0.28416869044303894,0.029539620503783226,-0.5859582424163818,-0.32101941108703613,0.17545177042484283,-0.48094063997268677,-0.05392539128661156,-0.11840438842773438,-0.5247371792793274,-0.0821206271648407,0.22143925726413727,-0.27297016978263855,-0.010636447928845882,-0.1666502058506012,-0.23743174970149994,-0.12084883451461792,0.24403192102909088,-0.06178631633520126,-0.020664960145950317,-0.18454274535179138,-0.05568547919392586,-0.21254561841487885,0.2369614690542221,-0.021181507036089897,-0.02059248648583889,-0.16940492391586304,-0.019497450441122055,-0.2745964825153351,0.20888924598693848,-0.01433185301721096,-0.04978618770837784,-0.12609528005123138,-0.04958682134747505,-0.2875588834285736,0.23664776980876923,-0.02927081473171711,-0.02969462424516678,-0.16521164774894714,-0.055312804877758026,-0.22784993052482605,0.09063306450843811,-0.000942185812164098,0.0476810447871685,-0.0887012928724289,-0.002215548185631633,-0.04485243931412697,0.12701313197612762,0.3617686927318573,0.16388432681560516,-0.12061802297830582,0.2713639438152313,0.008067881688475609,0.14499087631702423,0.6588175892829895,0.3801238238811493,-0.19003106653690338,0.6103001832962036,0.23650674521923065,0.12641072273254395,0.6927499771118164,0.40686389803886414,-0.19570139050483704,0.6379779577255249,0.2208615392446518,0.16623641550540924,0.7127073407173157,0.3577970862388611,-0.21416333317756653,0.6523826718330383,0.1360311061143875,1.0060975609756098
2,0.036824487149715424,-0.6316602230072021,-0.3383472263813019,0.05171125754714012,-0.6504519581794739,-0.3231475055217743,0.052762024104595184,-0.6504442691802979,-0.3120233416557312,0.05196315422654152,-0.650330126285553,-0.3154572546482086,0.026888558641076088,-0.6600935459136963,-0.34192806482315063,0.02687743306159973,-0.658646821975708,-0.35503241419792175,0.03155186399817467,-0.6465860605239868,-0.334545373916626,0.09631150960922241,-0.634921133518219,-0.19845382869243622,-0.05182090401649475,-0.5920655727386475,-0.23180782794952393,0.06809168308973312,-0.6194380521774292,-0.28238147497177124,0.029475979506969452,-0.5865606069564819,-0.3189478814601898,0.17613843083381653,-0.4784875512123108,-0.053002964705228806,-0.12563471496105194,-0.5244863033294678,-0.07582059502601624,0.22028261423110962,-0.2631399631500244,-0.018788417801260948,-0.17533880472183228,-0.23399624228477478,-0.12048576027154922,0.24366389214992523,-0.05016607046127319,-0.05226751044392586,-0.1911933273077011,-0.049141641706228256,-0.2156856805086136,0.23688413202762604,-0.006280136294662952,-0.05669361725449562,-0.1764829456806183,-0.008246595971286297,-0.27684882283210754,0.2077605128288269,0.0011286219814792275,-0.086337611079216,-0.13067424297332764,-0.037136416882276535,-0.29073578119277954,0.23554550111293793,-0.016815628856420517,-0.06230175867676735,-0.1710614711046219,-0.04729839786887169,-0.23132480680942535,0.09318680316209793,-0.0009448212804272771,0.0472479909658432,-0.09098362922668457,-0.0021971603855490685,-0.04440212994813919,0.12632492184638977,0.3714870512485504,0.14402784407138824,-0.1249617487192154,0.27685222029685974,-0.017569249495863914,0.14152516424655914,0.6771215200424194,0.3599466383457184,-0.19582612812519073,0.624491274356842,0.20585374534130096,0.12289847433567047,0.7118672132492065,0.3862511217594147,-0.20188051462173462,0.65284264087677,0.18939626216888428,0.16604337096214294,0.7302431464195251,0.33619239926338196,-0.2223346084356308,0.6685492992401123,0.10392368584871292,1.0060975609756098
3,0.03781667351722717,-0.6317923665046692,-0.3386502265930176,0.05245739594101906,-0.6512489914894104,-0.32354190945625305,0.053760431706905365,-0.651149570941925,-0.3124246299266815,0.05294660106301308,-0.6510941386222839,-0.31587228178977966,0.027578003704547882,-0.6603370904922485,-0.3423886299133301,0.027750054374337196,-0.658939778804779,-0.3555449843406677,0.032387107610702515,-0.6468595862388611,-0.3350178599357605,0.09613754600286484,-0.6368358135223389,-0.1995779573917389,-0.05224817246198654,-0.5921963453292847,-0.23242147266864777,0.0683799609541893,-0.6198195815086365,-0.28271913528442383,0.02966097556054592,-0.5866158604621887,-0.319411963224411,0.17616719007492065,-0.4773106873035431,-0.05337360128760338,-0.12714478373527527,-0.5235642194747925,-0.0769108384847641,0.2173433005809784,-0.2569160759449005,-0.025951752439141273,-0.17784152925014496,-0.23235507309436798,-0.12059205770492554,0.24062193930149078,-0.041440416127443314,-0.06873458623886108,-0.19534826278686523,-0.04391854256391525,-0.21581365168094635,0.23417241871356964,0.0034529846161603928,-0.07445778697729111,-0.18108873069286346,-0.0005571069195866585,-0.2767861485481262,0.20337443053722382,0.010545614175498486,-0.1037345826625824,-0.13498157262802124,-0.028429558500647545,-0.2907373607158661,0.23146194219589233,-0.00807751901447773,-0.07897260785102844,-0.17530786991119385,-0.04112398996949196,-0.23156213760375977,0.09424196183681488,-0.0009097654256038368,0.04720750078558922,-0.09194090962409973,-0.0022390210069715977,-0.044377706944942474,0.12445678561925888,0.37943747639656067,0.14766144752502441,-0.12605251371860504,0.28053945302963257,-0.015414131805300713,0.13865122199058533,0.6946519613265991,0.3565142750740051,-0.20421329140663147,0.6334279179573059,0.19968685507774353,0.12004593759775162,0.730112612247467,0.3815896511077881,-0.2109934389591217,0.6621118187904358,0.18226265907287598,0.1647854596376419,0.7457261681556702,0.3280787765979767,-0.2269246131181717,0.6770567297935486,0.0926378145813942,1.0121951219512195
4,0.03781133517622948,-0.6322369575500488,-0.3386496603488922,0.05249117687344551,-0.6522595882415771,-0.3232993185520172,0.05387561395764351,-0.6520500183105469,-0.31219756603240967,0.05304360017180443,-0.6520496606826782,-0.3156713545322418,0.027564305812120438,-0.6609441637992859,-0.34228208661079407,0.027750296518206596,-0.6596022248268127,-0.3554600775241852,0.032385166734457016,-0.6475615501403809,-0.3348979353904724,0.0960858017206192,-0.6377500891685486,-0.19863152503967285,-0.05391073226928711,-0.5927378535270691,-0.23175296187400818,0.06829216331243515,-0.6204066872596741,-0.2825166583061218,0.02922300063073635,-0.586982786655426,-0.31932559609413147,0.17614296078681946,-0.4762114882469177,-0.053053345531225204,-0.13063710927963257,-0.5226203799247742,-0.0747022032737732,0.21458512544631958,-0.25411155819892883,-0.029861461371183395,-0.1776735782623291,-0.2294164001941681,-0.1199570819735527,0.23843148350715637,-0.036690354347229004,-0.07654978334903717,-0.19606971740722656,-0.039878979325294495,-0.21643611788749695,0.23261934518814087,0.008653813041746616,-0.08250278234481812,-0.18208247423171997,0.0035887269768863916,-0.27706602215766907,0.20125038921833038,0.016410425305366516,-0.11212936788797379,-0.13679611682891846,-0.024163629859685898,-0.2916862666606903,0.22891652584075928,-0.002955896081402898,-0.08705704659223557,-0.17636948823928833,-0.03694717958569527,-0.2325296550989151,0.09539347887039185,-0.0009057642892003059,0.04714246094226837,-0.09299660474061966,-0.002245015697553754,-0.04431988298892975,0.12446790188550949,0.38292020559310913,0.1432805061340332,-0.12657061219215393,0.28283166885375977,-0.02107209898531437,0.13946311175823212,0.7027708888053894,0.3517172932624817,-0.20973779261112213,0.6396891474723816,0.18383316695690155,0.12113850563764572,0.7385717034339905,0.3766160309314728,-0.21703940629959106,0.668474555015564,0.16499903798103333,0.16606101393699646,0.7504689693450928,0.3230164051055908,-0.2313912957906723,0.680659294128418,0.07354333251714706,1.0121951219512195
5,0.03765597566962242,-0.6323387622833252,-0.3389681279659271,0.05247241258621216,-0.652502179145813,-0.3237026333808899,0.05387423560023308,-0.6522536873817444,-0.31260210275650024,0.05304061621427536,-0.6522729396820068,-0.31605881452560425,0.027489839121699333,-0.6611365675926208,-0.342561274766922,0.02770744450390339,-0.6598067879676819,-0.3557530641555786,0.032338619232177734,-0.6477738618850708,-0.33517706394195557,0.09605573862791061,-0.6378223896026611,-0.19930334389209747,-0.05455004423856735,-0.5930471420288086,-0.23183105885982513,0.06804276257753372,-0.6205714344978333,-0.28286832571029663,0.02870543859899044,-0.5870980620384216,-0.3195642828941345,0.17611056566238403,-0.47488853335380554,-0.05318313464522362,-0.13193687796592712,-0.5218819379806519,-0.07408960163593292,0.21185314655303955,-0.2507818937301636,-0.030406780540943146,-0.17775990068912506,-0.22677168250083923,-0.11864613741636276,0.23624524474143982,-0.031722672283649445,-0.07365628331899643,-0.1956363469362259,-0.036442603915929794,-0.21600228548049927,0.23078066110610962,0.014037682674825191,-0.07836289703845978,-0.1812816709280014,0.007003311067819595,-0.27613842487335205,0.19963175058364868,0.022459959611296654,-0.10802742093801498,-0.13653774559497833,-0.020692551508545876,-0.2913466691970825,0.2268407940864563,0.002187994308769703,-0.08390665054321289,-0.17600613832473755,-0.03347981348633766,-0.23227593302726746,0.09613703191280365,-0.0009020214783959091,0.047064341604709625,-0.09368280321359634,-0.00224871002137661,-0.04426233097910881,0.12450040131807327,0.38313552737236023,0.1427159607410431,-0.12767496705055237,0.2839048206806183,-0.01945432834327221,0.14021658897399902,0.7077546715736389,0.3464001715183258,-0.21131303906440735,0.6427285671234131,0.18918803334236145,0.12210679799318314,0.7440801858901978,0.3705155849456787,-0.21842530369758606,0.6716940402984619,0.1706675887107849,0.16902881860733032,0.7538915276527405,0.31433236598968506,-0.23185643553733826,0.6833377480506897,0.07892242074012756,1.0182926829268293
6,0.03764898702502251,-0.6323660612106323,-0.33850255608558655,0.05247683823108673,-0.6527051329612732,-0.32314494252204895,0.05390770360827446,-0.6524273157119751,-0.3120138347148895,0.053067468106746674,-0.6524489521980286,-0.31559908390045166,0.027494803071022034,-0.6612613201141357,-0.34221136569976807,0.02772991545498371,-0.659940779209137,-0.3554087281227112,0.03235853835940361,-0.6479083895683289,-0.3348253071308136,0.0955631285905838,-0.6383127570152283,-0.19910499453544617,-0.05501166731119156,-0.5935035943984985,-0.23193101584911346,0.06783056259155273,-0.620741069316864,-0.28239235281944275,0.028466885909438133,-0.5871690511703491,-0.3193133771419525,0.1757822334766388,-0.474744588136673,-0.05235268920660019,-0.13323074579238892,-0.5216420292854309,-0.07456137984991074,0.211604505777359,-0.25038474798202515,-0.02973816730082035,-0.18050526082515717,-0.2259816974401474,-0.11876537650823593,0.2353973537683487,-0.02948545105755329,-0.06830974668264389,-0.1963653415441513,-0.03407116234302521,-0.21604123711585999,0.22965404391288757,0.01700524240732193,-0.07208584994077682,-0.18136659264564514,0.009884204715490341,-0.2761062979698181,0.19839970767498016,0.025537770241498947,-0.10151835530996323,-0.13637062907218933,-0.017715560272336006,-0.2913207411766052,0.22591258585453033,0.004546426702290773,-0.07834374904632568,-0.1765010952949524,-0.03095151111483574,-0.23233142495155334,0.09638986736536026,-0.0009046207997016609,0.04705168679356575,-0.09392181038856506,-0.002246750518679619,-0.04425543546676636,0.12425634264945984,0.38537514209747314,0.14038541913032532,-0.12795424461364746,0.28873035311698914,-0.015178235247731209,0.14081169664859772,0.7111599445343018,0.3388126492500305,-0.21375428140163422,0.6504884362220764,0.19191952049732208,0.12288788706064224,0.7476308941841125,0.3622988760471344,-0.22106170654296875,0.6798776388168335,0.17296633124351501,0.17091386020183563,0.7566937804222107,0.3061390221118927,-0.23529383540153503,0.691381573677063,0.08182593435049057,1.024390243902439
7,0.03759628161787987,-0.6323379874229431,-0.3374386727809906,0.05246730148792267,-0.6527231931686401,-0.32200169563293457,0.053904999047517776,-0.6524385213851929,-0.31081879138946533,0.05306623876094818,-0.6524602174758911,-0.3145163655281067,0.02747185155749321,-0.6612756252288818,-0.3411838710308075,0.027721278369426727,-0.6599574089050293,-0.3544154167175293,0.03234831988811493,-0.6479146480560303,-0.33385634422302246,0.09521179646253586,-0.6386504769325256,-0.1981707215309143,-0.055476050823926926,-0.5940067768096924,-0.23132511973381042,0.06753397732973099,-0.6207677721977234,-0.2812868356704712,0.028097758069634438,-0.5871801376342773,-0.31834831833839417,0.17544269561767578,-0.4746752977371216,-0.051263149827718735,-0.13420602679252625,-0.5215885639190674,-0.07455293834209442,0.21136797964572906,-0.2505949139595032,-0.02919827774167061,-0.18140044808387756,-0.22565768659114838,-0.1189543828368187,0.23465558886528015,-0.028803838416934013,-0.06704198569059372,-0.1959320455789566,-0.03269344940781593,-0.21615853905677795,0.2287960946559906,0.018157657235860825,-0.0712994635105133,-0.1806085705757141,0.011643430218100548,-0.2760964035987854,0.19715966284275055,0.027187533676624298,-0.10063083469867706,-0.13583244383335114,-0.01579323224723339,-0.2913024425506592,0.2250320017337799,0.005403776187449694,-0.07717400789260864,-0.17600226402282715,-0.029338862746953964,-0.23243875801563263,0.09664760529994965,-0.0009036420960910618,0.047005150467157364,-0.09418322145938873,-0.0022488455288112164,-0.044220395386219025,0.12427710741758347,0.38712015748023987,0.13623425364494324,-0.1285870522260666,0.2912006080150604,-0.014063915237784386,0.14139872789382935,0.712448239326477,0.33257803320884705,-0.2145821452140808,0.6531835794448853,0.2002975344657898,0.12360526621341705,0.7488777041435242,0.35595226287841797,-0.2216758131980896,0.6827817559242249,0.18192774057388306,0.17391730844974518,0.7586972117424011,0.2981026768684387,-0.23426879942417145,0.6953315734863281,0.09141700714826584,1.024390243902439
8,0.03758343309164047,-0.6324394941329956,-0.3374355137348175,0.05230360105633736,-0.6531317234039307,-0.3220375180244446,0.05377638339996338,-0.6528275609016418,-0.3108358085155487,0.05295463651418686,-0.652854859828949,-0.3145596385002136,0.027325522154569626,-0.6613956093788147,-0.34130361676216125,0.027619343250989914,-0.6600914001464844,-0.35454773902893066,0.03224200755357742,-0.6480197906494141,-0.3339862823486328,0.09299155324697495,-0.6398497223854065,-0.1983741819858551,-0.0570734478533268,-0.5940231084823608,-0.23163583874702454,0.06722590327262878,-0.6210466027259827,-0.2812751233577728,0.027857482433319092,-0.587213397026062,-0.31846851110458374,0.17412331700325012,-0.4745912551879883,-0.05135483667254448,-0.13604581356048584,-0.5207923650741577,-0.07488652318716049,0.2101680338382721,-0.24988840520381927,-0.02948315627872944,-0.1826494187116623,-0.22397229075431824,-0.11896319687366486,0.23224946856498718,-0.02706947550177574,-0.07210538536310196,-0.195514976978302,-0.031036244705319405,-0.21558986604213715,0.22589020431041718,0.020631305873394012,-0.07802557200193405,-0.1799134761095047,0.013615703210234642,-0.2747107148170471,0.19334377348423004,0.029558846727013588,-0.10702721029520035,-0.13543467223644257,-0.013921366073191166,-0.29030054807662964,0.2221376746892929,0.0071725244633853436,-0.08248646557331085,-0.1755523830652237,-0.027668099850416183,-0.2319367378950119,0.09709411859512329,-0.0009029335924424231,0.046956952661275864,-0.0946316048502922,-0.0022536898031830788,-0.04419272765517235,0.12444477528333664,0.38867008686065674,0.13567206263542175,-0.12897349894046783,0.29249337315559387,-0.011080339550971985,0.14379888772964478,0.7137113213539124,0.33231955766677856,-0.2137283980846405,0.6547902226448059,0.20395809412002563,0.12635457515716553,0.7500540614128113,0.3556424379348755,-0.22050556540489197,0.6844679117202759,0.1854650229215622,0.17696529626846313,0.7608494162559509,0.29586565494537354,-0.23192079365253448,0.697830080986023,0.09298039227724075,1.024390243902439
9,0.03757786005735397,-0.632681131362915,-0.33521878719329834,0.05222107470035553,-0.6537512540817261,-0.3196968734264374,0.053709130734205246,-0.6534252762794495,-0.30842480063438416,0.052902210503816605,-0.6534664630889893,-0.312294602394104,0.027264559641480446,-0.6617617011070251,-0.3394593596458435,0.02757631428539753,-0.6604847311973572,-0.35275545716285706,0.03220209851861,-0.648365318775177,-0.3322281539440155,0.0915498360991478,-0.6412628889083862,-0.19633537530899048,-0.05799705907702446,-0.5943840146064758,-0.2311823070049286,0.06694691628217697,-0.6215245723724365,-0.27906322479248047,0.02764272876083851,-0.5874088406562805,-0.3168571889400482,0.1730279177427292,-0.47460103034973145,-0.04967300966382027,-0.13661421835422516,-0.5206088423728943,-0.07463426142930984,0.2095208615064621,-0.2498057335615158,-0.028818819671869278,-0.18192680180072784,-0.22306373715400696,-0.11896548420190811,0.23134483397006989,-0.02561565861105919,-0.06994292885065079,-0.1949286162853241,-0.030090056359767914,-0.21527941524982452,0.22474858164787292,0.023187320679426193,-0.07546588778495789,-0.17937883734703064,0.014922142960131168,-0.27395737171173096,0.19179315865039825,0.032557159662246704,-0.10440487414598465,-0.13529479503631592,-0.012526012025773525,-0.2896312177181244,0.22103701531887054,0.008905724622309208,-0.08019199967384338,-0.17509080469608307,-0.026626234874129295,-0.2316066473722458,0.09732276201248169,-0.0008973079384304583,0.04692626744508743,-0.09486807137727737,-0.002264792798087001,-0.044177740812301636,0.12446552515029907,0.39013800024986267,0.13771577179431915,-0.12903696298599243,0.2933696508407593,-0.01074269413948059,0.14521537721157074,0.7141415476799011,0.33394619822502136,-0.21363186836242676,0.6539461612701416,0.20679080486297607,0.1279454082250595,0.7504873275756836,0.3571619987487793,-0.22034138441085815,0.6834701895713806,0.18848498165607452,0.1789817214012146,0.760850727558136,0.29715314507484436,-0.23135702311992645,0.696670413017273,0.0964231789112091,1.024390243902439
