frame,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z,height_ratio
0,-0.018879225477576256,-0.5894641876220703,-0.34401410818099976,0.0036078430712223053,-0.6081446409225464,-0.33735474944114685,0.004120532423257828,-0.6082872748374939,-0.32610946893692017,0.0025752894580364227,-0.609012246131897,-0.32864993810653687,-0.02560308575630188,-0.6133484244346619,-0.3458859920501709,-0.023622065782546997,-0.6133660674095154,-0.36112678050994873,-0.01984967477619648,-0.602101743221283,-0.3394053876399994,0.07805439829826355,-0.6064503788948059,-0.22048431634902954,-0.07505293190479279,-0.549068808555603,-0.20549163222312927,0.0222025066614151,-0.579213559627533,-0.2897939085960388,-0.01615694910287857,-0.5440509915351868,-0.31639301776885986,0.19566701352596283,-0.44233664870262146,-0.06258317083120346,-0.15512312948703766,-0.48760464787483215,-0.015665987506508827,0.24387289583683014,-0.23455646634101868,-0.14504918456077576,-0.17796753346920013,-0.20057910680770874,-0.1324933022260666,0.17507649958133698,-0.2887527346611023,-0.3205339312553406,-0.14963439106941223,-0.3099428117275238,-0.38283681869506836,0.13763079047203064,-0.32050883769989014,-0.354144424200058,-0.11316230893135071,-0.3574123978614807,-0.4688461124897003,0.1275446116924286,-0.360180526971817,-0.3640051484107971,-0.09198062121868134,-0.4419419467449188,-0.4679091274738312,0.170981764793396,-0.292499303817749,-0.32832643389701843,-0.1383582204580307,-0.34457454085350037,-0.39534643292427063,0.10236874222755432,0.002226521261036396,0.022005945444107056,-0.10175018757581711,-0.006070675328373909,-0.019034884870052338,0.14534109830856323,0.4295303523540497,-0.023208241909742355,-0.07055357098579407,0.33660733699798584,0.012150410562753677,0.1867804229259491,0.7690028548240662,0.11559386551380157,-0.11756321787834167,0.7151774764060974,0.1944415122270584,0.16678357124328613,0.8047535419464111,0.13326039910316467,-0.12495716661214828,0.7471346855163574,0.16980186104774475,0.1518988460302353,0.8296138644218445,0.03219494968652725,-0.1744249016046524,0.7429123520851135,0.0641581267118454,1.0
1,-0.023388821631669998,-0.5870031118392944,-0.34048202633857727,-0.0012456267140805721,-0.6059461236000061,-0.33394941687583923,-0.00017409796419087797,-0.606245219707489,-0.3229290843009949,-0.0021236781030893326,-0.6066089272499084,-0.3254043161869049,-0.02986943908035755,-0.6118927597999573,-0.34290364384651184,-0.02801806665956974,-0.6119197010993958,-0.3576033413410187,-0.024474183097481728,-0.6007272601127625,-0.3360302448272705,0.07437704503536224,-0.6033959984779358,-0.2167218029499054,-0.081743024289608,-0.549515962600708,-0.20244672894477844,0.01808870956301689,-0.5765101313591003,-0.28703731298446655,-0.022224489599466324,-0.5426271557807922,-0.31299853324890137,0.18818923830986023,-0.44249528646469116,-0.060741957277059555,-0.15544044971466064,-0.4875832796096802,-0.013154932297766209,0.24266701936721802,-0.23654775321483612,-0.14603960514068604,-0.18143053352832794,-0.19727346301078796,-0.13234533369541168,0.16886891424655914,-0.2902446389198303,-0.32221800088882446,-0.1518881618976593,-0.3099435269832611,-0.37985432147979736,0.13035494089126587,-0.3213734030723572,-0.3557908833026886,-0.11357282102108002,-0.35741257667541504,-0.4624471068382263,0.12005889415740967,-0.36044391989707947,-0.365159809589386,-0.09290284663438797,-0.4416060447692871,-0.461171418428421,0.1627870500087738,-0.29332518577575684,-0.33019307255744934,-0.1409549117088318,-0.34458842873573303,-0.39159536361694336,0.10162714868783951,0.0017635077238082886,0.02180076576769352,-0.100718654692173,-0.005553544033318758,-0.018795857205986977,0.13491101562976837,0.42618077993392944,-0.0230275746434927,-0.07359066605567932,0.3384959101676941,0.01209686603397131,0.17383743822574615,0.7667583227157593,0.12932249903678894,-0.12547077238559723,0.7177246809005737,0.19437745213508606,0.15500782430171967,0.8020550012588501,0.14855290949344635,-0.13303260505199432,0.7502094507217407,0.16977617144584656,0.1532392054796219,0.823188841342926,0.06429997086524963,-0.1896287500858307,0.7433291077613831,0.06908567994832993,1.0
2,-0.02697889506816864,-0.5834932327270508,-0.34032487869262695,-0.005087761674076319,-0.6029376983642578,-0.33394119143486023,-0.0038133254274725914,-0.6033394932746887,-0.3229321539402008,-0.005980952177196741,-0.6034755110740662,-0.32538509368896484,-0.03357989341020584,-0.6093102693557739,-0.34286680817604065,-0.031711749732494354,-0.6094248294830322,-0.3575432300567627,-0.028302814811468124,-0.5982221961021423,-0.33596092462539673,0.07171110808849335,-0.6012647747993469,-0.21677014231681824,-0.08579405397176743,-0.5495555400848389,-0.20241162180900574,0.015074050053954124,-0.5732876658439636,-0.28703033924102783,-0.026143476366996765,-0.5401860475540161,-0.3128302991390228,0.18453358113765717,-0.44318142533302307,-0.06171472370624542,-0.15537726879119873,-0.4877922832965851,-0.013177851215004921,0.2415926307439804,-0.24168400466442108,-0.15710356831550598,-0.18141663074493408,-0.1976601928472519,-0.13570164144039154,0.16190779209136963,-0.2970116138458252,-0.33641138672828674,-0.15330365300178528,-0.31835174560546875,-0.3808993399143219,0.12235690653324127,-0.327430784702301,-0.3702448010444641,-0.1143617331981659,-0.36692219972610474,-0.4625275433063507,0.11147555708885193,-0.3662887513637543,-0.3786027729511261,-0.09461907297372818,-0.4492049515247345,-0.46133315563201904,0.1547515094280243,-0.29968351125717163,-0.3443562686443329,-0.14298976957798004,-0.35322076082229614,-0.3924165964126587,0.10097571462392807,0.001396100502461195,0.021677814424037933,-0.09986158460378647,-0.005184174049645662,-0.01866610161960125,0.1300528347492218,0.42216920852661133,-0.02236182428896427,-0.07534467428922653,0.3386605679988861,0.013501481153070927,0.166772723197937,0.7625361680984497,0.13647624850273132,-0.1285703182220459,0.7188031673431396,0.19506408274173737,0.14834119379520416,0.797338604927063,0.15619292855262756,-0.13584424555301666,0.7515764236450195,0.1704365313053131,0.15342316031455994,0.8166924715042114,0.07651916146278381,-0.19239361584186554,0.7435352206230164,0.07424582540988922,1.0
3,-0.029515845701098442,-0.5818551182746887,-0.32642677426338196,-0.007494818419218063,-0.6014403104782104,-0.320751816034317,-0.006064248736947775,-0.601873517036438,-0.31004032492637634,-0.00837754737585783,-0.6018962264060974,-0.3122502863407135,-0.035834163427352905,-0.6082219481468201,-0.32875898480415344,-0.03403671085834503,-0.6083590984344482,-0.34289899468421936,-0.03063387982547283,-0.5971442461013794,-0.3216128349304199,0.07121563702821732,-0.6003910303115845,-0.206620991230011,-0.0869278609752655,-0.5500693917274475,-0.1869862973690033,0.013432803563773632,-0.5718972086906433,-0.2748447060585022,-0.02834334969520569,-0.5391573905944824,-0.29827579855918884,0.1834532618522644,-0.4441092014312744,-0.05610585957765579,-0.15418674051761627,-0.4885466992855072,-0.00037207684363238513,0.24112233519554138,-0.24825777113437653,-0.15684571862220764,-0.18162395060062408,-0.19941438734531403,-0.12899506092071533,0.1547088474035263,-0.3099597096443176,-0.332130491733551,-0.15475569665431976,-0.32823702692985535,-0.36808136105537415,0.11338447779417038,-0.34214267134666443,-0.3644431531429291,-0.11502387374639511,-0.3788440227508545,-0.4462369680404663,0.10255970060825348,-0.3795544505119324,-0.37049198150634766,-0.09644916653633118,-0.45938679575920105,-0.44333162903785706,0.14704476296901703,-0.3124050199985504,-0.33889323472976685,-0.14510245621204376,-0.3631940484046936,-0.3783894181251526,0.10021456331014633,0.0011239186860620975,0.02149856835603714,-0.09889736026525497,-0.00488978112116456,-0.018479200080037117,0.1279848963022232,0.4206753373146057,-0.021642781794071198,-0.07712128758430481,0.3398280441761017,0.01389161217957735,0.16589587926864624,0.7617146968841553,0.14104312658309937,-0.13173890113830566,0.7198953628540039,0.19549067318439484,0.14773531258106232,0.7964686751365662,0.16105924546718597,-0.1389058381319046,0.7527957558631897,0.1708785742521286,0.15702460706233978,0.8150731921195984,0.08333604037761688,-0.19526006281375885,0.7438490986824036,0.07786113768815994,1.0
4,-0.0306995939463377,-0.581508219242096,-0.286090224981308,-0.009106634184718132,-0.6011180877685547,-0.2807638645172119,-0.007534129545092583,-0.6016154885292053,-0.2704046070575714,-0.009887817315757275,-0.601585328578949,-0.2725110352039337,-0.03707194700837135,-0.6080543398857117,-0.28799405694007874,-0.035443294793367386,-0.6082031726837158,-0.30145007371902466,-0.031922195106744766,-0.5969553589820862,-0.28079190850257874,0.07071000337600708,-0.600430965423584,-0.17096160352230072,-0.08736443519592285,-0.5515920519828796,-0.14689093828201294,0.01290541235357523,-0.571811854839325,-0.23627342283725739,-0.02909930795431137,-0.5390146970748901,-0.2576077878475189,0.18249425292015076,-0.44697025418281555,-0.030724765732884407,-0.15210755169391632,-0.49178794026374817,0.036378663033246994,0.23921629786491394,-0.2594420611858368,-0.1342330127954483,-0.1813764125108719,-0.2084006518125534,-0.09434651583433151,0.14568543434143066,-0.3277037739753723,-0.2918553948402405,-0.15564380586147308,-0.34253621101379395,-0.32891950011253357,0.10306961089372635,-0.3616258502006531,-0.32076308131217957,-0.11561577767133713,-0.3941100239753723,-0.40477678179740906,0.09248378127813339,-0.3973122239112854,-0.32457634806632996,-0.09843974560499191,-0.47279006242752075,-0.4016975164413452,0.1380043476819992,-0.33007484674453735,-0.29654958844184875,-0.14673328399658203,-0.37719008326530457,-0.3386041820049286,0.09940113872289658,0.0009431447251699865,0.02088133990764618,-0.0979221761226654,-0.004659617785364389,-0.017823420464992523,0.1265043169260025,0.4198322594165802,-0.021637659519910812,-0.07894188165664673,0.3414038121700287,0.014183332212269306,0.16483427584171295,0.7616349458694458,0.14103998243808746,-0.13476991653442383,0.7212563753128052,0.19610317051410675,0.14678984880447388,0.7963991165161133,0.16102388501167297,-0.1419757604598999,0.754361629486084,0.17147952318191528,0.1599331945180893,0.8138264417648315,0.08476921170949936,-0.19847023487091064,0.7441288828849792,0.08229918777942657,1.0
5,-0.031966064125299454,-0.5814496278762817,-0.2743700444698334,-0.010529185645282269,-0.6011321544647217,-0.26913347840309143,-0.008977691642940044,-0.6016409993171692,-0.2586749196052551,-0.011404451914131641,-0.6015943884849548,-0.2608594000339508,-0.03876500204205513,-0.608066201210022,-0.27577024698257446,-0.03724866732954979,-0.608221173286438,-0.2895193099975586,-0.03365892544388771,-0.5969580411911011,-0.2688392400741577,0.07039683312177658,-0.6013971567153931,-0.16073717176914215,-0.0883852168917656,-0.5532367825508118,-0.13494440913200378,0.012408828362822533,-0.5718780755996704,-0.2251986265182495,-0.030048174783587456,-0.5390223264694214,-0.24576030671596527,0.18240617215633392,-0.4505939483642578,-0.02510831691324711,-0.14979025721549988,-0.49515092372894287,0.043062642216682434,0.23612971603870392,-0.2709108293056488,-0.13367539644241333,-0.18206021189689636,-0.22718840837478638,-0.09571074694395065,0.13584613800048828,-0.34318047761917114,-0.28666651248931885,-0.1558198779821396,-0.36767813563346863,-0.3286561965942383,0.09170830249786377,-0.3771224915981293,-0.3141992390155792,-0.11556252837181091,-0.4193546772003174,-0.4040668308734894,0.08017268776893616,-0.41145414113998413,-0.3152330815792084,-0.09816157817840576,-0.49415022134780884,-0.39875999093055725,0.1277451515197754,-0.34478864073753357,-0.2899443507194519,-0.1468074470758438,-0.40034547448158264,-0.337577223777771,0.09911300241947174,0.0007557720527984202,0.020440654829144478,-0.09753069281578064,-0.004501236602663994,-0.017402803525328636,0.12612636387348175,0.4189963638782501,-0.021234674379229546,-0.08628083765506744,0.34142303466796875,0.016077367588877678,0.16373573243618011,0.7602530121803284,0.14736713469028473,-0.13833379745483398,0.721202552318573,0.2026807814836502,0.14580050110816956,0.7948037385940552,0.1683817356824875,-0.14491389691829681,0.7543013095855713,0.17828702926635742,0.16193048655986786,0.8108450174331665,0.09769944101572037,-0.2029760777950287,0.7439894676208496,0.09509412944316864,1.0
6,-0.03794863075017929,-0.581272542476654,-0.26018184423446655,-0.016648810356855392,-0.6011291742324829,-0.25516432523727417,-0.015216924250125885,-0.6016570925712585,-0.24467545747756958,-0.017646130174398422,-0.601594865322113,-0.24676871299743652,-0.04558493569493294,-0.6080036163330078,-0.2600117325782776,-0.04416273534297943,-0.608177125453949,-0.27382713556289673,-0.04039347916841507,-0.5968623757362366,-0.2532519996166229,0.06919927895069122,-0.603099524974823,-0.14983493089675903,-0.09154264628887177,-0.5539417266845703,-0.11633966118097305,0.009287555702030659,-0.5719299912452698,-0.21214233338832855,-0.03415898606181145,-0.5388695001602173,-0.23025371134281158,0.1824781745672226,-0.45216667652130127,-0.01977655291557312,-0.1460431069135666,-0.4974624514579773,0.055075015872716904,0.22542382776737213,-0.27817243337631226,-0.13428254425525665,-0.18204207718372345,-0.24243468046188354,-0.09159776568412781,0.12057297676801682,-0.36377498507499695,-0.2803492248058319,-0.15791773796081543,-0.38741084933280945,-0.32265546917915344,0.07653753459453583,-0.40132156014442444,-0.30606839060783386,-0.11841274052858353,-0.44020527601242065,-0.39711135625839233,0.06656620651483536,-0.4335472881793976,-0.303936243057251,-0.09932056814432144,-0.5116277933120728,-0.38992977142333984,0.11337201297283173,-0.3654137849807739,-0.281889408826828,-0.14871245622634888,-0.41855716705322266,-0.3306986391544342,0.0990070030093193,0.0007206894224509597,0.019789883866906166,-0.09736944735050201,-0.0044899978674948215,-0.016846047714352608,0.12547850608825684,0.4165497124195099,-0.021263061091303825,-0.09523454308509827,0.3404711186885834,0.016017457470297813,0.16165843605995178,0.7592884302139282,0.14580081403255463,-0.1434444934129715,0.7188863754272461,0.20476126670837402,0.14360398054122925,0.7938573956489563,0.16648384928703308,-0.1492094099521637,0.7517202496528625,0.1805744618177414,0.16180072724819183,0.8098545670509338,0.0937177836894989,-0.2058602124452591,0.7434849739074707,0.09939034283161163,1.0
7,-0.038579218089580536,-0.5785670876502991,-0.24817027151584625,-0.017391948029398918,-0.5988656282424927,-0.2444116622209549,-0.015998603776097298,-0.5995855331420898,-0.2338709831237793,-0.01840248517692089,-0.5993632674217224,-0.23613128066062927,-0.04609653726220131,-0.6059016585350037,-0.24903349578380585,-0.04478898644447327,-0.6060991883277893,-0.26263388991355896,-0.040935978293418884,-0.594556450843811,-0.2422160655260086,0.06902990490198135,-0.6032682657241821,-0.14073169231414795,-0.09149537235498428,-0.554004430770874,-0.10647311806678772,0.008998552337288857,-0.570669949054718,-0.20046554505825043,-0.0343957394361496,-0.5370630621910095,-0.218064546585083,0.18260949850082397,-0.45418062806129456,-0.012090932577848434,-0.14169642329216003,-0.5002622604370117,0.0664849728345871,0.21705429255962372,-0.28417858481407166,-0.12915152311325073,-0.18128566443920135,-0.2498808205127716,-0.0801772028207779,0.10876554250717163,-0.3793550133705139,-0.26422426104545593,-0.15892739593982697,-0.4013034999370575,-0.30850914120674133,0.06373664736747742,-0.4189259707927704,-0.28721165657043457,-0.12020299583673477,-0.4556068181991577,-0.38165798783302307,0.05579906702041626,-0.45017001032829285,-0.2842939794063568,-0.10045160353183746,-0.5267598032951355,-0.37424126267433167,0.10238734632730484,-0.3811096251010895,-0.26458433270454407,-0.1499946564435959,-0.43282103538513184,-0.3159717321395874,0.09867680072784424,0.0007139252847991884,0.018206922337412834,-0.09696303308010101,-0.004489256534725428,-0.015329549089074135,0.12473715096712112,0.41498443484306335,-0.021369917318224907,-0.10088478028774261,0.33994269371032715,0.01611231081187725,0.16153724491596222,0.7579855918884277,0.14487046003341675,-0.14655911922454834,0.7129985094070435,0.21315571665763855,0.14330585300922394,0.7925720810890198,0.16527694463729858,-0.1523609161376953,0.7453722357749939,0.19005636870861053,0.1616954207420349,0.8096535801887512,0.09235110878944397,-0.21451246738433838,0.7408036589622498,0.11716065555810928,1.0
8,-0.04082774370908737,-0.5730323791503906,-0.2586350739002228,-0.01901121623814106,-0.5934107303619385,-0.2553181052207947,-0.01776115968823433,-0.5942199230194092,-0.24460965394973755,-0.020204562693834305,-0.5937356948852539,-0.2468973696231842,-0.04748188704252243,-0.6012376546859741,-0.2600844204425812,-0.04620348662137985,-0.6014094352722168,-0.2739504873752594,-0.0423211045563221,-0.5896273851394653,-0.2532593011856079,0.0685715302824974,-0.6017802357673645,-0.14985987544059753,-0.09134736657142639,-0.5537649393081665,-0.11851119995117188,0.007191431242972612,-0.5665570497512817,-0.2107880413532257,-0.03570925071835518,-0.5332674980163574,-0.22898094356060028,0.18271507322788239,-0.4542940855026245,-0.013960229232907295,-0.139695942401886,-0.5018994808197021,0.056694429367780685,0.21324118971824646,-0.2883985936641693,-0.13975907862186432,-0.18241065740585327,-0.2559987008571625,-0.08144506067037582,0.10438060015439987,-0.3888521194458008,-0.27113816142082214,-0.16113464534282684,-0.4074622392654419,-0.3157542943954468,0.058935221284627914,-0.42896437644958496,-0.2953281104564667,-0.12229982018470764,-0.46140235662460327,-0.3894117772579193,0.0510266050696373,-0.4598161578178406,-0.2928449511528015,-0.10081898421049118,-0.5312262773513794,-0.3811727464199066,0.09821232408285141,-0.39022552967071533,-0.2724897265434265,-0.15178556740283966,-0.4379805326461792,-0.3233569860458374,0.09817846119403839,0.0007100710645318031,0.016739509999752045,-0.09638027846813202,-0.004516684915870428,-0.014051158912479877,0.12395911663770676,0.4124615490436554,-0.021367870271205902,-0.10185760259628296,0.33885663747787476,0.02442985586822033,0.1619180142879486,0.7570216655731201,0.1390146166086197,-0.14971713721752167,0.7104528546333313,0.2278270423412323,0.14368022978305817,0.7916393280029297,0.15834707021713257,-0.15594278275966644,0.7425917983055115,0.20457936823368073,0.16289730370044708,0.8092658519744873,0.09153148531913757,-0.22599615156650543,0.7368010878562927,0.13395680487155914,1.0
9,-0.04254215583205223,-0.5718545317649841,-0.25914081931114197,-0.020437022671103477,-0.5923338532447815,-0.25639021396636963,-0.019372381269931793,-0.5931985378265381,-0.24559099972248077,-0.02181311883032322,-0.5926205515861511,-0.24778646230697632,-0.049009524285793304,-0.6000975370407104,-0.2601076662540436,-0.04769372195005417,-0.6003040075302124,-0.2741940915584564,-0.04380803927779198,-0.5884250402450562,-0.2534373700618744,0.06837780773639679,-0.6016958951950073,-0.15397165715694427,-0.09129757434129715,-0.55361008644104,-0.1189463809132576,0.0061192018911242485,-0.5655669569969177,-0.21247686445713043,-0.03666173666715622,-0.5320571064949036,-0.22942684590816498,0.18277475237846375,-0.45431452989578247,-0.014634804800152779,-0.13718844950199127,-0.5020230412483215,0.05319884419441223,0.20797210931777954,-0.29141321778297424,-0.15201598405838013,-0.18455544114112854,-0.2592669725418091,-0.08520185202360153,0.09629539400339127,-0.395785927772522,-0.27511101961135864,-0.1627962589263916,-0.4145238995552063,-0.31976696848869324,0.05042260140180588,-0.43673262000083923,-0.2997208535671234,-0.12359395623207092,-0.46975982189178467,-0.39268219470977783,0.04248223453760147,-0.4667154550552368,-0.29513049125671387,-0.1008133515715599,-0.5374462604522705,-0.38263651728630066,0.09013597667217255,-0.39672526717185974,-0.27661970257759094,-0.15279047191143036,-0.44411516189575195,-0.32693251967430115,0.09806779026985168,0.0007082492229528725,0.015676068142056465,-0.09622184932231903,-0.004566686227917671,-0.01314386073499918,0.12405163794755936,0.41029873490333557,-0.022008156403899193,-0.10413581877946854,0.33736974000930786,0.025331279262900352,0.16216814517974854,0.7557907104492188,0.13876231014728546,-0.15631090104579926,0.7066003084182739,0.2339136302471161,0.14392206072807312,0.7904803156852722,0.15826155245304108,-0.16278402507305145,0.7381737232208252,0.21124675869941711,0.16255652904510498,0.8097681403160095,0.09234284609556198,-0.2328978031873703,0.7351825833320618,0.1414189636707306,1.0
