frame,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z,height_ratio
0,-0.020366761833429337,-0.5979189276695251,-0.35331279039382935,0.003059493377804756,-0.6155906915664673,-0.3484923243522644,0.004753836430609226,-0.6162580251693726,-0.33735743165016174,0.0033464133739471436,-0.6162605285644531,-0.3395944833755493,-0.02294408529996872,-0.6271153092384338,-0.3570563495159149,-0.021134478971362114,-0.6252958178520203,-0.37049251794815063,-0.017883801832795143,-0.6140397787094116,-0.3500199615955353,0.07936757057905197,-0.5970272421836853,-0.23902134597301483,-0.07249681651592255,-0.5648568272590637,-0.22656892240047455,0.020503109320998192,-0.5824191570281982,-0.30255475640296936,-0.020300809293985367,-0.5530423521995544,-0.3272346258163452,0.1715630441904068,-0.4228593707084656,-0.09152481704950333,-0.13267727196216583,-0.4965842664241791,-0.03887365385890007,0.19817374646663666,-0.19631345570087433,-0.13118739426136017,-0.17755450308322906,-0.19007274508476257,-0.10022144764661789,0.13455107808113098,-0.18742577731609344,-0.235857754945755,-0.12459623068571091,-0.18922951817512512,-0.30681365728378296,0.1008102148771286,-0.20121628046035767,-0.2563208341598511,-0.07855086028575897,-0.20473484694957733,-0.3820607662200928,0.09417316317558289,-0.23737411201000214,-0.26879721879959106,-0.042654067277908325,-0.27856478095054626,-0.38855135440826416,0.13060753047466278,-0.1877342313528061,-0.2421177327632904,-0.1041523814201355,-0.21893025934696198,-0.3202876150608063,0.09371572732925415,0.004806003533303738,0.028015172109007835,-0.0918140858411789,-0.008465348742902279,-0.02554154396057129,0.10576269775629044,0.4105593264102936,-0.014556948095560074,-0.07708221673965454,0.32533541321754456,-0.053974032402038574,0.11882609874010086,0.734764814376831,0.18315348029136658,-0.12726536393165588,0.6933559775352478,0.16933788359165192,0.09866239130496979,0.7664293646812439,0.20842401683330536,-0.1299290806055069,0.7231432199478149,0.1512698233127594,0.1005944088101387,0.8036896586418152,0.14586946368217468,-0.12282528728246689,0.7535097599029541,0.06011272966861725,1.0
1,-0.020011480897665024,-0.5999755263328552,-0.3582923710346222,0.0037910533137619495,-0.617280125617981,-0.3519412875175476,0.005305813625454903,-0.6178765892982483,-0.3407633602619171,0.003888678504154086,-0.6179171204566956,-0.34297817945480347,-0.022769154980778694,-0.6281469464302063,-0.3599317967891693,-0.02095210738480091,-0.6265892386436462,-0.37376686930656433,-0.01761501096189022,-0.6153623461723328,-0.3530818223953247,0.08137950301170349,-0.5978795289993286,-0.24034349620342255,-0.07189174741506577,-0.5648595690727234,-0.22698715329170227,0.021229170262813568,-0.5840744972229004,-0.306755930185318,-0.019687894731760025,-0.5545242428779602,-0.3313925862312317,0.17560529708862305,-0.4228549599647522,-0.09225831180810928,-0.1329844892024994,-0.4964819550514221,-0.040421292185783386,0.198981374502182,-0.1963236778974533,-0.13665737211704254,-0.17762447893619537,-0.19010834395885468,-0.1064356341958046,0.13735660910606384,-0.18772907555103302,-0.2561227083206177,-0.12597933411598206,-0.18922345340251923,-0.3414613902568817,0.10418816655874252,-0.20158839225769043,-0.28143665194511414,-0.08168294280767441,-0.20477858185768127,-0.4263709783554077,0.09731372445821762,-0.23840565979480743,-0.295137494802475,-0.04380214214324951,-0.278878778219223,-0.434440553188324,0.1333734393119812,-0.18809637427330017,-0.2634810209274292,-0.10509786754846573,-0.21885250508785248,-0.35710272192955017,0.09464843571186066,0.00480150431394577,0.028160888701677322,-0.09293438494205475,-0.00847345869988203,-0.02562182955443859,0.10614030808210373,0.41090649366378784,-0.010036187246441841,-0.0784444734454155,0.3249880373477936,-0.04761575534939766,0.11882592737674713,0.7347912788391113,0.19698885083198547,-0.12667261064052582,0.6926030516624451,0.1820107251405716,0.09861481189727783,0.7665218114852905,0.22358037531375885,-0.12906599044799805,0.7222625017166138,0.16473722457885742,0.10024096816778183,0.8043330311775208,0.15577425062656403,-0.12097424268722534,0.7533991932868958,0.07043959200382233,1.0
2,-0.019963311031460762,-0.6024194359779358,-0.3636298179626465,0.003922348842024803,-0.6194584369659424,-0.3564727306365967,0.0053646862506866455,-0.6199662089347839,-0.3452602028846741,0.003941922914236784,-0.6200606226921082,-0.3473833501338959,-0.022777166217565536,-0.6296780705451965,-0.3639916181564331,-0.020957397297024727,-0.628339409828186,-0.37819501757621765,-0.017611443996429443,-0.6171167492866516,-0.35731416940689087,0.08192389458417892,-0.5995103716850281,-0.24343417584896088,-0.0717635229229927,-0.5650489926338196,-0.22898992896080017,0.02142847329378128,-0.5862579941749573,-0.31172293424606323,-0.019507264718413353,-0.5565082430839539,-0.33636924624443054,0.1775151789188385,-0.4231726825237274,-0.09445671737194061,-0.1333625316619873,-0.4965014159679413,-0.04399809613823891,0.1996220350265503,-0.19661203026771545,-0.14300303161144257,-0.17761026322841644,-0.19028636813163757,-0.11426344513893127,0.13903123140335083,-0.1884135603904724,-0.268374502658844,-0.12640522420406342,-0.18931944668293,-0.3582063913345337,0.10604724287986755,-0.2024281769990921,-0.2950291931629181,-0.08306026458740234,-0.20505158603191376,-0.44459155201911926,0.09900607913732529,-0.23993270099163055,-0.30891284346580505,-0.04435024783015251,-0.27954524755477905,-0.4525461494922638,0.1349795013666153,-0.18885022401809692,-0.27604907751083374,-0.10540427267551422,-0.21886569261550903,-0.3740881681442261,0.09522058814764023,0.004776430781930685,0.028345122933387756,-0.09363030642271042,-0.00847360398620367,-0.025741880759596825,0.10641477257013321,0.4109456241130829,-0.004685986787080765,-0.07893098890781403,0.3248642683029175,-0.03864707425236702,0.11892276257276535,0.7338389158248901,0.20786349475383759,-0.12656795978546143,0.6920921206474304,0.1922571212053299,0.09865690022706985,0.7656199336051941,0.23518508672714233,-0.12888012826442719,0.7216294407844543,0.17520274221897125,0.09977331012487411,0.8037886023521423,0.16528433561325073,-0.11983974277973175,0.7531465291976929,0.07898514717817307,0.9991503823279524
3,-0.019935915246605873,-0.6041853427886963,-0.36519235372543335,0.004020601511001587,-0.6210248470306396,-0.35778918862342834,0.005407182965427637,-0.6214905977249146,-0.34657374024391174,0.003982860129326582,-0.621636152267456,-0.34864363074302673,-0.02278149127960205,-0.6309295892715454,-0.36517831683158875,-0.02095797099173069,-0.6297075748443604,-0.3795015811920166,-0.0176058541983366,-0.6184999942779541,-0.3585657775402069,0.08230631798505783,-0.6006349921226501,-0.24437859654426575,-0.07162486016750336,-0.5653378963470459,-0.22950591146945953,0.021534347906708717,-0.5877888202667236,-0.3132022023200989,-0.01939750649034977,-0.5579837560653687,-0.33787161111831665,0.17835231125354767,-0.4233597218990326,-0.09519300609827042,-0.13354387879371643,-0.4965159595012665,-0.04539076238870621,0.19966864585876465,-0.1966998428106308,-0.14531444013118744,-0.1773296445608139,-0.19029778242111206,-0.11676409840583801,0.1398681402206421,-0.18886825442314148,-0.2718483507633209,-0.12654423713684082,-0.18954451382160187,-0.35972946882247925,0.10728614032268524,-0.20297904312610626,-0.29866525530815125,-0.08375708013772964,-0.20561082661151886,-0.4452267289161682,0.10033737123012543,-0.2408883273601532,-0.31248828768730164,-0.04472928121685982,-0.280633807182312,-0.4531324803829193,0.13587507605552673,-0.18938612937927246,-0.27959853410720825,-0.10551225394010544,-0.21902433037757874,-0.37539637088775635,0.0956268161535263,0.0047538704238832,0.028499437496066093,-0.09410963207483292,-0.0084748025983572,-0.025854535400867462,0.10662133246660233,0.4110201895236969,-0.0009567368542775512,-0.07890931516885757,0.3247508406639099,-0.035228680819272995,0.119480662047863,0.7334396839141846,0.21062780916690826,-0.12641599774360657,0.6920176148414612,0.1948215216398239,0.0991145521402359,0.7652890086174011,0.23779353499412537,-0.1286870688199997,0.7215367555618286,0.17775695025920868,0.09891372174024582,0.8035572171211243,0.1667838990688324,-0.11833199858665466,0.7531605362892151,0.08076252788305283,0.9991503823279524
4,-0.019900621846318245,-0.6063896417617798,-0.3648892045021057,0.004126373212784529,-0.6229768991470337,-0.3576589822769165,0.0054710558615624905,-0.6234356164932251,-0.3464491367340088,0.004041857086122036,-0.6236114501953125,-0.3485235869884491,-0.022773876786231995,-0.6327456831932068,-0.36511439085006714,-0.020949169993400574,-0.6316163539886475,-0.379381388425827,-0.017584260553121567,-0.6204256415367126,-0.35847336053848267,0.08254669606685638,-0.6019924283027649,-0.2442140430212021,-0.07142635434865952,-0.5661026239395142,-0.22913998365402222,0.021623143926262856,-0.5897839069366455,-0.31296730041503906,-0.019293658435344696,-0.5599479079246521,-0.33763712644577026,0.17881405353546143,-0.4235718250274658,-0.0951278880238533,-0.13377034664154053,-0.49665868282318115,-0.04532322660088539,0.19968664646148682,-0.19709716737270355,-0.14505192637443542,-0.17709971964359283,-0.19036924839019775,-0.1164952740073204,0.14028289914131165,-0.1893405020236969,-0.27015355229377747,-0.12653326988220215,-0.18984195590019226,-0.35717713832855225,0.10787466168403625,-0.2034667432308197,-0.2965678572654724,-0.08379605412483215,-0.2061660885810852,-0.44183504581451416,0.10084400326013565,-0.24144752323627472,-0.3103666603565216,-0.0447697713971138,-0.28153982758522034,-0.4497443437576294,0.13628752529621124,-0.18983285129070282,-0.2778640389442444,-0.10550078004598618,-0.21925145387649536,-0.3727266788482666,0.09589381515979767,0.004737904295325279,0.02858593687415123,-0.09441850334405899,-0.008476330898702145,-0.02591678872704506,0.1068352535367012,0.41113948822021484,0.0021878296975046396,-0.07895176857709885,0.32478392124176025,-0.03200557082891464,0.12009751796722412,0.7337663769721985,0.2113073319196701,-0.1261388212442398,0.6921244263648987,0.1972350925207138,0.099720299243927,0.7657902240753174,0.2381904125213623,-0.12833309173583984,0.7216454148292542,0.18003147840499878,0.09912512451410294,0.8037559986114502,0.16686086356639862,-0.11763410270214081,0.753361165523529,0.082770936191082,0.9991503823279524
5,-0.019653387367725372,-0.6069746017456055,-0.3646676242351532,0.004452974069863558,-0.6235155463218689,-0.3575884699821472,0.005731881130486727,-0.6239657998085022,-0.3463735580444336,0.004297629464417696,-0.6241551637649536,-0.34844547510147095,-0.022618379443883896,-0.6332372426986694,-0.3650323450565338,-0.020798902958631516,-0.6321392059326172,-0.3793063461780548,-0.01737653836607933,-0.6209286451339722,-0.35839909315109253,0.08291935175657272,-0.6024519801139832,-0.244074746966362,-0.07110236585140228,-0.5662418603897095,-0.2289918214082718,0.02196398936212063,-0.5903480052947998,-0.3127948045730591,-0.01892777532339096,-0.5604798793792725,-0.3374598026275635,0.1793951541185379,-0.42354291677474976,-0.09498696774244308,-0.13376256823539734,-0.49665892124176025,-0.04534119740128517,0.20002058148384094,-0.19665232300758362,-0.14473770558834076,-0.17537431418895721,-0.1901312619447708,-0.11666009575128555,0.14166751503944397,-0.18958722054958344,-0.2681492865085602,-0.12653353810310364,-0.18986240029335022,-0.3563764691352844,0.10964392870664597,-0.2043045312166214,-0.2938902676105499,-0.08412625640630722,-0.2064676582813263,-0.4406118094921112,0.10276645421981812,-0.24245907366275787,-0.3075415790081024,-0.0453718937933445,-0.28195223212242126,-0.44847431778907776,0.13783499598503113,-0.19020096957683563,-0.2757062017917633,-0.10555087774991989,-0.21926003694534302,-0.3718704283237457,0.0960051566362381,0.004732189234346151,0.028747253119945526,-0.09455839544534683,-0.008481902070343494,-0.02605517767369747,0.10684438049793243,0.41128772497177124,0.003307436825707555,-0.07877715677022934,0.3248887360095978,-0.031578902155160904,0.12039898335933685,0.7347753643989563,0.210723876953125,-0.12478931248188019,0.69208824634552,0.19878968596458435,0.1000634953379631,0.7670820951461792,0.23744423687458038,-0.12683014571666718,0.7215933203697205,0.18162882328033447,0.09976723790168762,0.8053926825523376,0.1667936146259308,-0.11537480354309082,0.753517746925354,0.08570140600204468,0.9991503823279524
6,-0.01964423432946205,-0.6069283485412598,-0.36273252964019775,0.00451194541528821,-0.6234779357910156,-0.3552784323692322,0.00577703258022666,-0.6239330172538757,-0.34407904744148254,0.004340285435318947,-0.6241172552108765,-0.34616661071777344,-0.022606272250413895,-0.6332276463508606,-0.36245590448379517,-0.020785581320524216,-0.6321260929107666,-0.37670761346817017,-0.017343487590551376,-0.6209182739257812,-0.3558249771595001,0.08336137235164642,-0.602401852607727,-0.24237635731697083,-0.07064399123191833,-0.5661948323249817,-0.22601936757564545,0.022061189636588097,-0.5903128385543823,-0.31116440892219543,-0.018811404705047607,-0.5604596734046936,-0.3354485034942627,0.17995531857013702,-0.42321303486824036,-0.09390220046043396,-0.13373751938343048,-0.4961557388305664,-0.04429793730378151,0.20040372014045715,-0.19594262540340424,-0.1433013677597046,-0.17254595458507538,-0.188123419880867,-0.11642968654632568,0.14225783944129944,-0.1890474557876587,-0.26624083518981934,-0.1254226565361023,-0.18896065652370453,-0.35408201813697815,0.11036832630634308,-0.20388983190059662,-0.29211312532424927,-0.08347149938344955,-0.2060830295085907,-0.437919557094574,0.10344444960355759,-0.24220694601535797,-0.30606579780578613,-0.045193202793598175,-0.2818186581134796,-0.44578585028648376,0.13848184049129486,-0.18976539373397827,-0.2739441990852356,-0.1047918051481247,-0.2184501737356186,-0.36952099204063416,0.09612520039081573,0.004728179890662432,0.02882213145494461,-0.09469892084598541,-0.008482666686177254,-0.0261039137840271,0.10701042413711548,0.41173499822616577,0.002942268270999193,-0.07873038947582245,0.3248746991157532,-0.03209831938147545,0.12067941576242447,0.7356346845626831,0.20987163484096527,-0.12319734692573547,0.6917966604232788,0.19774721562862396,0.10034992545843124,0.7681474685668945,0.23647615313529968,-0.12508510053157806,0.7212860584259033,0.1806170493364334,0.10083379596471786,0.8076116442680359,0.1662776917219162,-0.113670714199543,0.7536010146141052,0.08573362231254578,1.0
7,-0.019203592091798782,-0.6069782972335815,-0.36272379755973816,0.0049318112432956696,-0.6235417127609253,-0.3552922010421753,0.0061556375585496426,-0.6240004897117615,-0.34409961104393005,0.00471814488992095,-0.6241796016693115,-0.34618401527404785,-0.022318772971630096,-0.6333230137825012,-0.362544983625412,-0.020489877089858055,-0.6322213411331177,-0.3767930269241333,-0.017012478783726692,-0.6210035085678101,-0.35591205954551697,0.0837041586637497,-0.6025392413139343,-0.24245473742485046,-0.07031877338886261,-0.5662448406219482,-0.2263323813676834,0.02254786156117916,-0.5904011130332947,-0.3111684024333954,-0.01832692138850689,-0.5605608224868774,-0.33550164103507996,0.18013344705104828,-0.4234445095062256,-0.09401489049196243,-0.13374923169612885,-0.49611392617225647,-0.04511703550815582,0.20083430409431458,-0.19601193070411682,-0.14310653507709503,-0.17150089144706726,-0.18776652216911316,-0.1183200255036354,0.14266131818294525,-0.1890096366405487,-0.2653633654117584,-0.12235032767057419,-0.18968887627124786,-0.35413527488708496,0.11074549704790115,-0.20385198295116425,-0.29101794958114624,-0.0795082375407219,-0.20768317580223083,-0.43741855025291443,0.10374622792005539,-0.24219655990600586,-0.3049107491970062,-0.04295087233185768,-0.28443053364753723,-0.44494593143463135,0.13889580965042114,-0.18974491953849792,-0.2730118930339813,-0.10222332924604416,-0.21954506635665894,-0.3693787455558777,0.09621655195951462,0.004687913693487644,0.029099997133016586,-0.09480465948581696,-0.008450949564576149,-0.02634100615978241,0.10739368945360184,0.4119341969490051,0.00329598062671721,-0.07825373113155365,0.32493337988853455,-0.03249000757932663,0.12076430022716522,0.7352356910705566,0.2132110446691513,-0.1231200098991394,0.6917324066162109,0.1989181488752365,0.10044927895069122,0.767696738243103,0.24040471017360687,-0.12501682341098785,0.7212157249450684,0.18199338018894196,0.10173535346984863,0.807669997215271,0.17235822975635529,-0.11264174431562424,0.7540797591209412,0.08754163235425949,1.0
8,-0.017782924696803093,-0.6069736480712891,-0.36374369263648987,0.006327734794467688,-0.6235447525978088,-0.3562344014644623,0.007484997157007456,-0.6240007877349854,-0.34504884481430054,0.006030794233083725,-0.624179482460022,-0.34712061285972595,-0.02109651267528534,-0.6333638429641724,-0.36385393142700195,-0.019280774518847466,-0.6322585940361023,-0.378158301115036,-0.0157826766371727,-0.6210376024246216,-0.35724201798439026,0.0843287780880928,-0.6025924682617188,-0.24295228719711304,-0.06976506859064102,-0.5663320422172546,-0.22841620445251465,0.023653235286474228,-0.5904241800308228,-0.3119664490222931,-0.017238276079297066,-0.5606393218040466,-0.3366789221763611,0.1801358014345169,-0.423705518245697,-0.09442959725856781,-0.1337704062461853,-0.4961077868938446,-0.046914804726839066,0.20104822516441345,-0.19620230793952942,-0.14316792786121368,-0.17043063044548035,-0.18723638355731964,-0.12138605862855911,0.1439717710018158,-0.18884649872779846,-0.2646503448486328,-0.11896279454231262,-0.1900860071182251,-0.35607075691223145,0.11235795170068741,-0.20371155440807343,-0.2899459898471832,-0.07544926553964615,-0.20886781811714172,-0.43889662623405457,0.10540306568145752,-0.24204279482364655,-0.30370086431503296,-0.0402764156460762,-0.2861763536930084,-0.4460641145706177,0.14032962918281555,-0.18954424560070038,-0.27221280336380005,-0.09933147579431534,-0.22018691897392273,-0.37105822563171387,0.0962507501244545,0.004656720906496048,0.02923475205898285,-0.09484494477510452,-0.008431575261056423,-0.02645227685570717,0.10743037611246109,0.41210418939590454,0.003833901369944215,-0.07752671092748642,0.32507407665252686,-0.03190125152468681,0.1207754909992218,0.7338001728057861,0.21726883947849274,-0.12311656028032303,0.6916366219520569,0.20090672373771667,0.10045941919088364,0.7659983038902283,0.2450205534696579,-0.12503641843795776,0.7210874557495117,0.184170201420784,0.10174061357975006,0.8063300848007202,0.17822766304016113,-0.11269921064376831,0.75389164686203,0.08997099846601486,1.0
9,-0.01775459572672844,-0.6069467067718506,-0.3657856285572052,0.006356978323310614,-0.6235347986221313,-0.3585321009159088,0.007509052753448486,-0.6239907145500183,-0.3473181426525116,0.00605345144867897,-0.6241671442985535,-0.34938162565231323,-0.021091779693961143,-0.6333663463592529,-0.36618292331695557,-0.019275806844234467,-0.6322593688964844,-0.38046881556510925,-0.01577126421034336,-0.621034562587738,-0.3595133125782013,0.08439607173204422,-0.602762758731842,-0.24523209035396576,-0.06973671913146973,-0.5664244890213013,-0.23079784214496613,0.02371668629348278,-0.5904486775398254,-0.3138617277145386,-0.017167111858725548,-0.560671329498291,-0.3385608196258545,0.1802155077457428,-0.42446744441986084,-0.09597503393888474,-0.13376978039741516,-0.49618592858314514,-0.04877202957868576,0.2018546611070633,-0.19658143818378448,-0.14359883964061737,-0.1686767190694809,-0.18695689737796783,-0.12314274162054062,0.14544788002967834,-0.18875686824321747,-0.26405492424964905,-0.11867830157279968,-0.19011034071445465,-0.35782432556152344,0.11400563269853592,-0.20360039174556732,-0.289203941822052,-0.07544611394405365,-0.20907069742679596,-0.4407290816307068,0.10711459070444107,-0.24189183115959167,-0.3028728663921356,-0.04033100977540016,-0.2864436209201813,-0.44797736406326294,0.14195582270622253,-0.1894296407699585,-0.27156350016593933,-0.09924232959747314,-0.22024522721767426,-0.3729410469532013,0.09628602862358093,0.004648144822567701,0.02928841859102249,-0.09488684684038162,-0.008426737040281296,-0.02649521641433239,0.10806935280561447,0.4122816026210785,0.0036967946216464043,-0.07750837504863739,0.32495564222335815,-0.032233577221632004,0.12078732252120972,0.7337743639945984,0.2164289504289627,-0.12290449440479279,0.6905058026313782,0.20086047053337097,0.10046495497226715,0.7659611701965332,0.2440173625946045,-0.12483131140470505,0.7198481559753418,0.18417109549045563,0.10195807367563248,0.8064860701560974,0.17715416848659515,-0.11250293999910355,0.7534468770027161,0.09045577049255371,1.0008496176720476
