frame,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z,height_ratio
0,-0.009785644710063934,-0.5704951882362366,-0.21326245367527008,0.00025064684450626373,-0.5908383727073669,-0.20260587334632874,0.0026857033371925354,-0.5916502475738525,-0.19143477082252502,0.00021653063595294952,-0.5916850566864014,-0.19538384675979614,-0.024036455899477005,-0.5954708456993103,-0.21814827620983124,-0.020652975887060165,-0.5938248634338379,-0.23303286731243134,-0.017033901065587997,-0.5825604796409607,-0.21146760880947113,0.054640136659145355,-0.5983809232711792,-0.09076866507530212,-0.09295310080051422,-0.5420420169830322,-0.10832773149013519,0.023529818281531334,-0.5634523630142212,-0.15704789757728577,-0.01848040521144867,-0.5276013612747192,-0.19192694127559662,0.14484232664108276,-0.4345664978027344,0.05607778951525688,-0.06813938915729523,-0.5147395730018616,-0.021224912256002426,0.1790219396352768,-0.31675365567207336,-0.06715033948421478,0.1466492861509323,-0.3733574450016022,-0.1113404706120491,0.18641895055770874,-0.46245312690734863,-0.21845406293869019,0.37445786595344543,-0.38503897190093994,-0.09308186918497086,0.17313024401664734,-0.5148550868034363,-0.23907817900180817,0.4587138295173645,-0.3822770416736603,-0.13456805050373077,0.17796874046325684,-0.5406302213668823,-0.2355690449476242,0.48937347531318665,-0.4344925284385681,-0.12331727147102356,0.19139941036701202,-0.46514061093330383,-0.22205409407615662,0.39908722043037415,-0.4014151692390442,-0.08990663290023804,0.08585139364004135,0.008638018742203712,0.043689314275979996,-0.08451545238494873,-0.013898140750825405,-0.043160874396562576,0.1120547503232956,0.4314731955528259,-0.01665322110056877,-0.1233815997838974,0.35836589336395264,-0.0398397296667099,0.16142070293426514,0.7975945472717285,0.13064706325531006,-0.25765275955200195,0.7531071901321411,0.11510074883699417,0.13932710886001587,0.83344966173172,0.15111827850341797,-0.27274373173713684,0.7905322313308716,0.09109941869974136,0.11897613108158112,0.882455050945282,0.08738820999860764,-0.30393075942993164,0.8209878206253052,-0.004548908676952124,1.0
1,-0.014474826864898205,-0.5773162245750427,-0.2099379301071167,-0.0034610088914632797,-0.5955951809883118,-0.19805799424648285,-0.001245982013642788,-0.5964709520339966,-0.18687185645103455,-0.0037856141570955515,-0.5963919758796692,-0.1907605677843094,-0.02809804491698742,-0.6016589999198914,-0.21284931898117065,-0.024996411055326462,-0.5998163223266602,-0.22743196785449982,-0.021376023069024086,-0.5885171294212341,-0.20593565702438354,0.05243562161922455,-0.5980713367462158,-0.08779498189687729,-0.09532669931650162,-0.543177604675293,-0.10180748254060745,0.019361287355422974,-0.5667427182197571,-0.15509693324565887,-0.02294832654297352,-0.532558262348175,-0.1888982504606247,0.14182262122631073,-0.434091717004776,0.04856660217046738,-0.07133116573095322,-0.5146272778511047,-0.013031658716499805,0.17956328392028809,-0.3189668357372284,-0.08645805716514587,0.13956023752689362,-0.3735373616218567,-0.11007516831159592,0.18005876243114471,-0.46148887276649475,-0.22705867886543274,0.36205264925956726,-0.3897024691104889,-0.09563662111759186,0.16531038284301758,-0.5112488865852356,-0.24558743834495544,0.44528236985206604,-0.38934651017189026,-0.13710615038871765,0.16600942611694336,-0.5335990190505981,-0.24042868614196777,0.4746324121952057,-0.43984293937683105,-0.12531480193138123,0.18347984552383423,-0.46289539337158203,-0.22949247062206268,0.38568076491355896,-0.40601664781570435,-0.09252509474754333,0.08593310415744781,0.008536509238183498,0.04088348150253296,-0.08457864820957184,-0.013777432031929493,-0.04000222682952881,0.12025732547044754,0.4305197298526764,-0.019436847418546677,-0.12719805538654327,0.3540533781051636,-0.04679692164063454,0.16037482023239136,0.7885977029800415,0.13033267855644226,-0.2582949697971344,0.7449134588241577,0.11400186270475388,0.13759075105190277,0.8237552642822266,0.15104536712169647,-0.27311253547668457,0.7812063097953796,0.090386763215065,0.1175369843840599,0.8770756721496582,0.09172706305980682,-0.30539077520370483,0.8120929002761841,-0.003932593390345573,1.0
2,-0.01697877235710621,-0.5817174315452576,-0.20586897432804108,-0.005275089293718338,-0.5987879633903503,-0.19350014626979828,-0.0031513499561697245,-0.5997055172920227,-0.18230178952217102,-0.0057226140052080154,-0.5995410084724426,-0.18612654507160187,-0.030028287321329117,-0.6058303117752075,-0.20767229795455933,-0.027156643569469452,-0.6038259267807007,-0.2219620794057846,-0.023471171036362648,-0.5924856066703796,-0.20057575404644012,0.05190649256110191,-0.5979521870613098,-0.08408373594284058,-0.09610205143690109,-0.5449222326278687,-0.09506088495254517,0.01733957789838314,-0.5693352222442627,-0.15189507603645325,-0.025195132941007614,-0.5363678932189941,-0.18462030589580536,0.14117540419101715,-0.43402960896492004,0.045957185328006744,-0.07345589995384216,-0.5149222016334534,-0.0029944113921374083,0.18004338443279266,-0.32075735926628113,-0.09152281284332275,0.13462696969509125,-0.373808354139328,-0.10232563316822052,0.17556555569171906,-0.46148374676704407,-0.22805969417095184,0.3534570634365082,-0.3954835832118988,-0.0945490151643753,0.16010989248752594,-0.5106760859489441,-0.24589663743972778,0.4363386332988739,-0.3971376121044159,-0.1357990801334381,0.15979617834091187,-0.531669557094574,-0.24044212698936462,0.46436211466789246,-0.44692716002464294,-0.1237228587269783,0.17859552800655365,-0.4626010060310364,-0.23008574545383453,0.37642374634742737,-0.41205430030822754,-0.09142924100160599,0.08619337528944016,0.00851221289485693,0.03853410854935646,-0.08480557054281235,-0.013736926950514317,-0.037464242428541183,0.12501880526542664,0.4295743703842163,-0.02211177907884121,-0.13075073063373566,0.3512648642063141,-0.05214196443557739,0.16022375226020813,0.7851616740226746,0.12998369336128235,-0.25863030552864075,0.7410142421722412,0.11342615634202957,0.1372113674879074,0.8202902674674988,0.1509278118610382,-0.27325350046157837,0.7769238948822021,0.09008569270372391,0.11736607551574707,0.875524640083313,0.09367344528436661,-0.3063778281211853,0.8085924386978149,-0.003296004142612219,1.0
3,-0.01772099919617176,-0.583129346370697,-0.2052135169506073,-0.005860175006091595,-0.6000171303749084,-0.19270752370357513,-0.003782144747674465,-0.6009551286697388,-0.18151326477527618,-0.006352364085614681,-0.6007611155509949,-0.1853264570236206,-0.030682524666190147,-0.6072460412979126,-0.20693953335285187,-0.027855772525072098,-0.6052373647689819,-0.22119122743606567,-0.02414184808731079,-0.5938775539398193,-0.19981986284255981,0.05121904984116554,-0.597829282283783,-0.08338817954063416,-0.09674132615327835,-0.5455027222633362,-0.09466222673654556,0.01645279861986637,-0.5703079700469971,-0.15141363441944122,-0.02606852352619171,-0.5375962853431702,-0.18412461876869202,0.14012029767036438,-0.43402862548828125,0.04378185421228409,-0.07481241971254349,-0.5149336457252502,-0.0026074449997395277,0.18122433125972748,-0.3226335644721985,-0.09480365365743637,0.1335587054491043,-0.3741713762283325,-0.10259465128183365,0.17363277077674866,-0.4613631069660187,-0.2321862280368805,0.350820928812027,-0.3983682692050934,-0.09824717044830322,0.15747343003749847,-0.5094762444496155,-0.24956601858139038,0.4331372380256653,-0.40049996972084045,-0.14013545215129852,0.1561547964811325,-0.5298777222633362,-0.24395330250263214,0.46125200390815735,-0.45004042983055115,-0.12794393301010132,0.17617233097553253,-0.46211814880371094,-0.23400664329528809,0.3736531734466553,-0.41494542360305786,-0.09530508518218994,0.08630327135324478,0.008422140032052994,0.0376460924744606,-0.08490059524774551,-0.013626165688037872,-0.03647654131054878,0.12692029774188995,0.4291134476661682,-0.0229668989777565,-0.13295651972293854,0.34973135590553284,-0.054799266159534454,0.16002655029296875,0.7833919525146484,0.1299058049917221,-0.2590772211551666,0.7389846444129944,0.11317917704582214,0.13682770729064941,0.8184865117073059,0.15091940760612488,-0.27348724007606506,0.7747529745101929,0.08997604995965958,0.11725657433271408,0.8744233846664429,0.09567892551422119,-0.306763231754303,0.8066047430038452,-0.0024370208848267794,1.0
4,-0.01801910437643528,-0.5845166444778442,-0.20055560767650604,-0.006207156460732222,-0.6012005805969238,-0.18793806433677673,-0.004151150118559599,-0.6021689772605896,-0.17674238979816437,-0.006710666231811047,-0.6019535064697266,-0.1805620640516281,-0.03094419464468956,-0.6085653901100159,-0.20213541388511658,-0.028179174289107323,-0.6065050959587097,-0.21621690690517426,-0.02444920688867569,-0.5951225757598877,-0.1949436068534851,0.05088024586439133,-0.5978080034255981,-0.07923485338687897,-0.09685863554477692,-0.5460008978843689,-0.09014903753995895,0.016150755807757378,-0.5713707804679871,-0.14723385870456696,-0.026300787925720215,-0.5387575030326843,-0.17965583503246307,0.1398925930261612,-0.4339596629142761,0.044100165367126465,-0.07580447942018509,-0.5149943232536316,0.0027609802782535553,0.18143735826015472,-0.3234390616416931,-0.09301377087831497,0.12964604794979095,-0.3743416368961334,-0.09810905903577805,0.17298097908496857,-0.46152830123901367,-0.2294071912765503,0.34749799966812134,-0.4010438323020935,-0.09606367349624634,0.15687358379364014,-0.509518027305603,-0.24570637941360474,0.43018072843551636,-0.40384620428085327,-0.1377527117729187,0.1558820605278015,-0.5298547744750977,-0.23937411606311798,0.4584232270717621,-0.4533141255378723,-0.12496321648359299,0.17569203674793243,-0.4621293842792511,-0.23073941469192505,0.3704197108745575,-0.4177141487598419,-0.09292544424533844,0.08642585575580597,0.008387576788663864,0.03665264695882797,-0.08501186221837997,-0.013577167876064777,-0.03543827310204506,0.1286640167236328,0.42851701378822327,-0.02427801862359047,-0.13277696073055267,0.3492361307144165,-0.055941492319107056,0.1605098694562912,0.782967209815979,0.12723630666732788,-0.25834327936172485,0.7373531460762024,0.11272888630628586,0.13721497356891632,0.8181226253509521,0.14828993380069733,-0.27261611819267273,0.7729875445365906,0.08963974565267563,0.11785511672496796,0.8733021020889282,0.0946231409907341,-0.30674368143081665,0.8029508590698242,-0.002297626808285713,1.0
5,-0.01853710412979126,-0.5861994028091431,-0.1979421079158783,-0.006642975844442844,-0.6023178696632385,-0.18545183539390564,-0.004622177220880985,-0.6033114194869995,-0.17420153319835663,-0.007152068428695202,-0.603115439414978,-0.17806756496429443,-0.03126996383070946,-0.6100490689277649,-0.199415385723114,-0.028557222336530685,-0.6078879237174988,-0.21343713998794556,-0.024840503931045532,-0.5964829325675964,-0.1921994388103485,0.05061139166355133,-0.5974766612052917,-0.07778127491474152,-0.0968751311302185,-0.5463280081748962,-0.08760704100131989,0.01566656120121479,-0.5724831819534302,-0.14512918889522552,-0.026682734489440918,-0.5401775240898132,-0.1771223247051239,0.13929538428783417,-0.43369507789611816,0.04187421128153801,-0.07606256753206253,-0.5150441527366638,0.0065004839561879635,0.18207071721553802,-0.32499000430107117,-0.09632715582847595,0.12964004278182983,-0.37731605768203735,-0.09432187676429749,0.17169669270515442,-0.4614601731300354,-0.22915200889110565,0.3472472131252289,-0.4057677984237671,-0.09096924960613251,0.15529026091098785,-0.5086532831192017,-0.24539463222026825,0.42968329787254333,-0.40811511874198914,-0.13134115934371948,0.15391838550567627,-0.5274412035942078,-0.2387404590845108,0.45794999599456787,-0.45651018619537354,-0.11842657625675201,0.17439568042755127,-0.46167391538619995,-0.23063986003398895,0.3700259327888489,-0.42208924889564514,-0.08776050806045532,0.08641432225704193,0.008303710259497166,0.03443527594208717,-0.08498609811067581,-0.013485617004334927,-0.033219389617443085,0.12905196845531464,0.4279615879058838,-0.027926543727517128,-0.1330622136592865,0.34919366240501404,-0.05662727728486061,0.16208085417747498,0.7832998633384705,0.11464892327785492,-0.25763511657714844,0.7374728322029114,0.10750418156385422,0.1390535682439804,0.818490743637085,0.13474500179290771,-0.27161985635757446,0.7730733156204224,0.08385047316551208,0.12004564702510834,0.8728882670402527,0.08279530704021454,-0.306741863489151,0.8020679950714111,-0.004678053315728903,1.0
6,-0.018484387546777725,-0.5859942436218262,-0.1960993856191635,-0.006575248669832945,-0.6022646427154541,-0.18339888751506805,-0.004563977941870689,-0.6032585501670837,-0.17217732965946198,-0.007092585321515799,-0.6030729413032532,-0.17605945467948914,-0.031199423596262932,-0.609947919845581,-0.19784583151340485,-0.028497843071818352,-0.6078072786331177,-0.2119101583957672,-0.024786753579974174,-0.5964348912239075,-0.19068166613578796,0.050471071153879166,-0.5972298383712769,-0.07492613047361374,-0.0968707874417305,-0.5465171933174133,-0.08676969259977341,0.01567205972969532,-0.5724896788597107,-0.14296935498714447,-0.02664201892912388,-0.5401184558868408,-0.17563261091709137,0.13846364617347717,-0.4337101876735687,0.04257916659116745,-0.07726075500249863,-0.5150768756866455,0.006598696578294039,0.18232949078083038,-0.3267070949077606,-0.09536087512969971,0.12913833558559418,-0.37807270884513855,-0.09470674395561218,0.17086997628211975,-0.46077853441238403,-0.22828470170497894,0.34766921401023865,-0.40706709027290344,-0.09556793421506882,0.15416568517684937,-0.5061697363853455,-0.24462413787841797,0.4303716719150543,-0.40933310985565186,-0.13680650293827057,0.15223358571529388,-0.5244165062904358,-0.2379205822944641,0.4586770236492157,-0.4578889012336731,-0.12367667257785797,0.1732955127954483,-0.4602648913860321,-0.22969962656497955,0.37058189511299133,-0.42333316802978516,-0.09241385757923126,0.08673227578401566,0.008117662742733955,0.03448348119854927,-0.08527376502752304,-0.013303175568580627,-0.033270083367824554,0.13018636405467987,0.4267200231552124,-0.02858142927289009,-0.13414958119392395,0.34867221117019653,-0.05950991064310074,0.16277287900447845,0.7831623554229736,0.11239472031593323,-0.2584596872329712,0.737758219242096,0.10115473717451096,0.13962192833423615,0.8184510469436646,0.13238507509231567,-0.27235740423202515,0.7734375,0.07708834856748581,0.12090670317411423,0.8713405728340149,0.07863622158765793,-0.30739685893058777,0.8020607829093933,-0.01287095993757248,1.0
7,-0.01893209107220173,-0.5863081216812134,-0.1956167221069336,-0.0068955025635659695,-0.6025625467300415,-0.18299764394760132,-0.004880998749285936,-0.6035497784614563,-0.17176972329616547,-0.007411005441099405,-0.6033763289451599,-0.17566974461078644,-0.03151398524641991,-0.6103875041007996,-0.1973952353000641,-0.028816403821110725,-0.6082262396812439,-0.21147185564041138,-0.02512313239276409,-0.5968675017356873,-0.19021081924438477,0.05019722878932953,-0.5971611142158508,-0.07460437715053558,-0.09694386273622513,-0.547060489654541,-0.08631706982851028,0.015111268498003483,-0.5728943347930908,-0.14248773455619812,-0.027090035378932953,-0.5406000018119812,-0.17515668272972107,0.13843519985675812,-0.4337173104286194,0.042450323700904846,-0.07852465659379959,-0.5156059265136719,0.006400824524462223,0.18284474313259125,-0.32731911540031433,-0.09608299285173416,0.12763826549053192,-0.3790677487850189,-0.09502971917390823,0.16978326439857483,-0.46042653918266296,-0.2282419353723526,0.3469817638397217,-0.40815478563308716,-0.09721937775611877,0.1525660902261734,-0.5051427483558655,-0.24457797408103943,0.42980989813804626,-0.41019880771636963,-0.13848371803760529,0.1505727469921112,-0.5232625007629395,-0.23790808022022247,0.45830830931663513,-0.45895466208457947,-0.12524820864200592,0.1721726804971695,-0.45965704321861267,-0.22965788841247559,0.36996498703956604,-0.42446768283843994,-0.09409172832965851,0.08688253164291382,0.00807549711316824,0.03424464166164398,-0.08540937304496765,-0.013260004110634327,-0.03302713856101036,0.1304505616426468,0.42609766125679016,-0.029580842703580856,-0.13405326008796692,0.3483765721321106,-0.06104900315403938,0.1628398448228836,0.7832828760147095,0.10843414068222046,-0.2584695518016815,0.7379812598228455,0.0919504314661026,0.13967542350292206,0.818611204624176,0.1279883086681366,-0.2723729610443115,0.7736626863479614,0.06689514964818954,0.12101003527641296,0.8711190819740295,0.07428093254566193,-0.30822867155075073,0.8023966550827026,-0.023367920890450478,1.0
8,-0.01912136934697628,-0.5877887606620789,-0.1944686770439148,-0.00692850211635232,-0.6039772629737854,-0.18157754838466644,-0.004923064261674881,-0.6049716472625732,-0.17034299671649933,-0.007453040685504675,-0.6048141717910767,-0.17425554990768433,-0.03162944316864014,-0.6119082570075989,-0.1958535611629486,-0.028920728713274002,-0.6097986102104187,-0.20999948680400848,-0.025235040113329887,-0.5984911918640137,-0.18871167302131653,0.05018886551260948,-0.5974022150039673,-0.07285501062870026,-0.09695986658334732,-0.5485526323318481,-0.08405764400959015,0.014874984510242939,-0.5743434429168701,-0.14130185544490814,-0.027333157137036324,-0.5421895384788513,-0.1738971471786499,0.13842730224132538,-0.4345572888851166,0.0425964891910553,-0.07919246703386307,-0.5163832306861877,0.007108405698090792,0.1839887648820877,-0.33369266986846924,-0.09879974275827408,0.12778465449810028,-0.38162344694137573,-0.09819789975881577,0.1693355143070221,-0.46101346611976624,-0.23295390605926514,0.3473883867263794,-0.4106699824333191,-0.10887356847524643,0.1517859846353531,-0.5051321983337402,-0.2503964304924011,0.4302021265029907,-0.41223475337028503,-0.1524823009967804,0.1488800346851349,-0.5232930779457092,-0.2439664751291275,0.4589194655418396,-0.46111586689949036,-0.13948598504066467,0.1713387817144394,-0.45982491970062256,-0.23461773991584778,0.37048035860061646,-0.4267854690551758,-0.10615554451942444,0.08712126314640045,0.007955236360430717,0.03391392156481743,-0.08563627302646637,-0.013146045617759228,-0.03266517445445061,0.13058477640151978,0.4257071316242218,-0.03150298818945885,-0.13397353887557983,0.348364919424057,-0.06149647384881973,0.16293486952781677,0.783402144908905,0.10580704361200333,-0.2584621012210846,0.7388516068458557,0.09042988717556,0.13975968956947327,0.8187074661254883,0.12531408667564392,-0.2723580300807953,0.7745757699012756,0.06522195786237717,0.12104442715644836,0.8709337711334229,0.07083974778652191,-0.3085595667362213,0.8026414513587952,-0.025296824052929878,1.0
9,-0.01949365995824337,-0.5886591076850891,-0.19238422811031342,-0.007156414445489645,-0.6048054695129395,-0.17921635508537292,-0.005172024480998516,-0.6058173775672913,-0.16797563433647156,-0.007702394388616085,-0.6056721210479736,-0.1719367653131485,-0.031975068151950836,-0.6127419471740723,-0.1934480518102646,-0.029247744008898735,-0.6106731295585632,-0.20765960216522217,-0.0255778506398201,-0.5993953943252563,-0.18636669218540192,0.04991551488637924,-0.5975462198257446,-0.07033690810203552,-0.0971728041768074,-0.5492936372756958,-0.08150815218687057,0.014419542625546455,-0.5752933025360107,-0.13921190798282623,-0.027759861201047897,-0.5431381464004517,-0.1718321293592453,0.13826797902584076,-0.43516841530799866,0.04266964644193649,-0.08029544353485107,-0.5168565511703491,0.007768326438963413,0.18477222323417664,-0.3378169536590576,-0.10006282478570938,0.12758104503154755,-0.3842431604862213,-0.10186509788036346,0.16892540454864502,-0.4614090025424957,-0.23542420566082,0.34774187207221985,-0.4118400812149048,-0.11598870158195496,0.1511123776435852,-0.5050276517868042,-0.2534097135066986,0.4305886924266815,-0.41277188062667847,-0.16035151481628418,0.1473991870880127,-0.5230976939201355,-0.24702997505664825,0.459356427192688,-0.46147987246513367,-0.14734585583209991,0.17059743404388428,-0.4599073529243469,-0.23717238008975983,0.37090402841567993,-0.4276418387889862,-0.11330527812242508,0.08731210976839066,0.0078049106523394585,0.03374567627906799,-0.08581550419330597,-0.013002067804336548,-0.032480113208293915,0.13054369390010834,0.4250228703022003,-0.032964956015348434,-0.13389146327972412,0.34821614623069763,-0.062459222972393036,0.1628735363483429,0.7835067510604858,0.10329513996839523,-0.2584499716758728,0.7392323017120361,0.08892620354890823,0.13967265188694,0.8187872767448425,0.12267480045557022,-0.2723469138145447,0.774971067905426,0.06367765367031097,0.12081320583820343,0.8704126477241516,0.06709979474544525,-0.30877771973609924,0.8026876449584961,-0.027046775445342064,1.0
