frame,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z,height_ratio
0,-0.09050973504781723,-0.639979898929596,-0.25165030360221863,-0.056222233921289444,-0.6573855876922607,-0.2512453496456146,-0.05615498870611191,-0.657487690448761,-0.23814710974693298,-0.05713219195604324,-0.6578838229179382,-0.23990200459957123,-0.07759226858615875,-0.670792818069458,-0.24537935853004456,-0.07780885696411133,-0.6700174808502197,-0.25859275460243225,-0.0704280287027359,-0.657684862613678,-0.23810535669326782,0.04808015376329422,-0.6373429298400879,-0.18669886887073517,-0.061851225793361664,-0.6049438714981079,-0.11392437666654587,-0.03961620479822159,-0.6245827078819275,-0.21793530881404877,-0.06420796364545822,-0.5951611399650574,-0.22465260326862335,0.13386313617229462,-0.44905897974967957,-0.14348164200782776,-0.11287271976470947,-0.5307835936546326,0.1162099689245224,0.10487313568592072,-0.24710002541542053,-0.18151545524597168,-0.12592627108097076,-0.24541278183460236,0.05214451998472214,-0.097771555185318,-0.13529238104820251,-0.1408681422472,-0.26768791675567627,-0.16178788244724274,-0.1712745875120163,-0.16268590092658997,-0.09996609389781952,-0.1477026790380478,-0.2777964770793915,-0.14792154729366302,-0.23323476314544678,-0.20622240006923676,-0.1252826303243637,-0.1582173854112625,-0.27468565106391907,-0.19034135341644287,-0.25853368639945984,-0.11850281059741974,-0.1264481395483017,-0.14019539952278137,-0.2717757225036621,-0.16899585723876953,-0.1957085281610489,0.07215358316898346,0.006207354366779327,-0.0499604269862175,-0.07119163870811462,-0.009552978910505772,0.05257166922092438,0.09610714018344879,0.4086955785751343,-0.1232597678899765,-0.03230373188853264,0.3334023356437683,0.13207334280014038,0.14651460945606232,0.760718047618866,-0.06625107675790787,-0.06519734114408493,0.7250766158103943,0.3069716989994049,0.1271403580904007,0.8022493720054626,-0.057708896696567535,-0.07533779740333557,0.7591347694396973,0.28053581714630127,0.030882351100444794,0.8186681270599365,-0.14694838225841522,-0.1746540367603302,0.7614932060241699,0.22718165814876556,1.0
1,-0.08854326605796814,-0.6400490403175354,-0.24937841296195984,-0.053417254239320755,-0.6573890447616577,-0.2507520914077759,-0.05300338193774223,-0.6575124859809875,-0.23756644129753113,-0.053898222744464874,-0.65793776512146,-0.23935997486114502,-0.07360635697841644,-0.6708455085754395,-0.24313455820083618,-0.07366025447845459,-0.6700649261474609,-0.25631287693977356,-0.0676480233669281,-0.6577430367469788,-0.23569579422473907,0.05963234603404999,-0.6344187259674072,-0.1874493956565857,-0.05368424206972122,-0.6049399375915527,-0.10609332472085953,-0.03502615913748741,-0.6238985061645508,-0.2171626091003418,-0.062231697142124176,-0.59483802318573,-0.22094020247459412,0.14003950357437134,-0.4420568346977234,-0.14183899760246277,-0.08973090350627899,-0.533510684967041,0.12077468633651733,0.10090223699808121,-0.24669528007507324,-0.17449083924293518,-0.1270228624343872,-0.25345519185066223,0.053979504853487015,-0.09990603476762772,-0.14520102739334106,-0.12302635610103607,-0.26844513416290283,-0.18182578682899475,-0.1703822910785675,-0.16422629356384277,-0.12057369947433472,-0.13037990033626556,-0.27928903698921204,-0.1706116646528244,-0.23322917520999908,-0.2060898393392563,-0.14736256003379822,-0.14222536981105804,-0.2736033499240875,-0.21130193769931793,-0.2579888701438904,-0.11984086781740189,-0.13701431453227997,-0.1228388324379921,-0.2717666029930115,-0.18954399228096008,-0.19474276900291443,0.07204686105251312,0.006902728229761124,-0.04986373335123062,-0.07105864584445953,-0.010123022831976414,0.05249568074941635,0.10143188387155533,0.40948861837387085,-0.10854411125183105,-0.027493679895997047,0.3339093327522278,0.11551283299922943,0.16020844876766205,0.7675349116325378,-0.054151128977537155,-0.045079827308654785,0.7297185659408569,0.271139919757843,0.1414145678281784,0.8075974583625793,-0.047009777277708054,-0.052247900515794754,0.764126181602478,0.24249351024627686,0.04832078889012337,0.8186367750167847,-0.143876850605011,-0.14777418971061707,0.7636822462081909,0.17700697481632233,1.0
2,-0.08878453075885773,-0.6421197056770325,-0.2493259161710739,-0.05343407019972801,-0.6588395833969116,-0.25188782811164856,-0.05301481857895851,-0.659104585647583,-0.23859229683876038,-0.053909070789813995,-0.6596944332122803,-0.24035131931304932,-0.07314536720514297,-0.6727696061134338,-0.24314159154891968,-0.07316968590021133,-0.672051727771759,-0.2563209533691406,-0.06747476756572723,-0.6596452593803406,-0.2356841266155243,0.06326113641262054,-0.6339531540870667,-0.19776688516139984,-0.04657703638076782,-0.6063228845596313,-0.10553579032421112,-0.03485075384378433,-0.6241424679756165,-0.21805043518543243,-0.06214439868927002,-0.5955110788345337,-0.22072073817253113,0.1407453864812851,-0.44042885303497314,-0.14682401716709137,-0.07431977987289429,-0.5381788015365601,0.12223023921251297,0.09458933770656586,-0.24761253595352173,-0.17761068046092987,-0.12823575735092163,-0.25941142439842224,0.05446538329124451,-0.10522875934839249,-0.16473540663719177,-0.12439707666635513,-0.2767128348350525,-0.20934681594371796,-0.171701580286026,-0.16917844116687775,-0.14821657538414001,-0.13151967525482178,-0.29031020402908325,-0.2056637555360794,-0.2369464933872223,-0.20668575167655945,-0.17655590176582336,-0.14309076964855194,-0.279556006193161,-0.24912157654762268,-0.2598555386066437,-0.1237659752368927,-0.1581079214811325,-0.124086894094944,-0.27868136763572693,-0.21971635520458221,-0.19599734246730804,0.07061780989170074,0.007470635697245598,-0.05057396739721298,-0.0696161612868309,-0.010619515553116798,0.053220849484205246,0.10205524414777756,0.40987682342529297,-0.10496386140584946,-0.02680392935872078,0.33402925729751587,0.11782064288854599,0.16712431609630585,0.771501362323761,-0.05348953232169151,-0.03934181109070778,0.7314416170120239,0.2756534814834595,0.14892695844173431,0.8107332587242126,-0.04673902690410614,-0.045726098120212555,0.7658854126930237,0.2471112310886383,0.054309263825416565,0.8172319531440735,-0.14391233026981354,-0.14258088171482086,0.7634263634681702,0.18442073464393616,0.9957264957264957
3,-0.08828827738761902,-0.6468779444694519,-0.24630588293075562,-0.052143197506666183,-0.6628205180168152,-0.2512563169002533,-0.05172235518693924,-0.6633579134941101,-0.23790353536605835,-0.052626729011535645,-0.6640743613243103,-0.23962372541427612,-0.07061535120010376,-0.6772534251213074,-0.24033842980861664,-0.07059431821107864,-0.6766828298568726,-0.2535732686519623,-0.06558156758546829,-0.6640916466712952,-0.23275601863861084,0.06861903518438339,-0.6341862678527832,-0.19962672889232635,-0.03818145766854286,-0.6092895269393921,-0.10165634751319885,-0.03301207721233368,-0.6263203024864197,-0.21745124459266663,-0.060531385242938995,-0.5982455015182495,-0.2173226922750473,0.1418159157037735,-0.4406391382217407,-0.14983007311820984,-0.06332752108573914,-0.541149377822876,0.12692326307296753,0.08935435116291046,-0.25576499104499817,-0.18149355053901672,-0.12753166258335114,-0.26443004608154297,0.054544925689697266,-0.11446614563465118,-0.1908791959285736,-0.12545761466026306,-0.2769361138343811,-0.23586609959602356,-0.18151049315929413,-0.17982850968837738,-0.17879445850849152,-0.13255172967910767,-0.2906181514263153,-0.23869413137435913,-0.2501548230648041,-0.21067960560321808,-0.20754189789295197,-0.14393727481365204,-0.27963870763778687,-0.2850874662399292,-0.2700102925300598,-0.131046861410141,-0.18531998991966248,-0.12510375678539276,-0.2788875102996826,-0.2490331530570984,-0.20534642040729523,0.06942084431648254,0.007589567918330431,-0.05141663923859596,-0.06841130554676056,-0.010699037462472916,0.054095376282930374,0.1061912328004837,0.41246357560157776,-0.10012772679328918,-0.023741401731967926,0.336757630109787,0.12918445467948914,0.18400824069976807,0.7733829021453857,-0.0458415187895298,-0.02438865788280964,0.7348953485488892,0.285049706697464,0.16704832017421722,0.8119379281997681,-0.038955796509981155,-0.0288804043084383,0.7693858742713928,0.2555411159992218,0.07076577097177505,0.8165069818496704,-0.13428997993469238,-0.1253816932439804,0.7652665376663208,0.19457989931106567,0.9871794871794872
4,-0.0903509333729744,-0.6483150124549866,-0.24484819173812866,-0.053791146725416183,-0.6641591191291809,-0.2512679994106293,-0.05334330350160599,-0.6648097634315491,-0.2379021942615509,-0.05430447682738304,-0.665605366230011,-0.2396220862865448,-0.07098310440778732,-0.6785687208175659,-0.23947341740131378,-0.07087252289056778,-0.6780809164047241,-0.2527889609336853,-0.06619130820035934,-0.6654213070869446,-0.23182524740695953,0.06771717965602875,-0.6343051791191101,-0.20759835839271545,-0.03565530478954315,-0.610123336315155,-0.10156330466270447,-0.033595819026231766,-0.6270168423652649,-0.21745678782463074,-0.060756321996450424,-0.5989671945571899,-0.2161148339509964,0.14172719419002533,-0.4408915042877197,-0.16122294962406158,-0.057480234652757645,-0.5446135401725769,0.1281518191099167,0.07499804347753525,-0.2645222246646881,-0.19598223268985748,-0.12743133306503296,-0.27335959672927856,0.053857650607824326,-0.13297507166862488,-0.20850175619125366,-0.13059782981872559,-0.2787432372570038,-0.25326257944107056,-0.1908254623413086,-0.1988612413406372,-0.19847655296325684,-0.13659711182117462,-0.2924167215824127,-0.25710630416870117,-0.260293573141098,-0.2240649312734604,-0.22784264385700226,-0.14728674292564392,-0.2813560366630554,-0.30368709564208984,-0.2792699635028839,-0.14754292368888855,-0.2034151405096054,-0.12975092232227325,-0.2807440757751465,-0.2670353651046753,-0.21477477252483368,0.06805827468633652,0.007780964020639658,-0.05300663039088249,-0.06706646829843521,-0.010860569775104523,0.0556626096367836,0.10604743659496307,0.41414061188697815,-0.09646370261907578,-0.022267647087574005,0.3389204144477844,0.13600626587867737,0.18768012523651123,0.7772398591041565,-0.03672734647989273,-0.022266894578933716,0.743766188621521,0.28707852959632874,0.1712087243795395,0.8154094815254211,-0.029483886435627937,-0.026869134977459908,0.7790858149528503,0.256532222032547,0.07414722442626953,0.8183334469795227,-0.12215643376111984,-0.12589165568351746,0.7731906175613403,0.19510915875434875,0.9871794871794872
5,-0.09374487400054932,-0.6482169032096863,-0.24569544196128845,-0.05683480203151703,-0.6640979051589966,-0.2555994689464569,-0.05643047019839287,-0.6647573113441467,-0.2420167326927185,-0.057492054998874664,-0.6655490398406982,-0.2437068223953247,-0.07228108495473862,-0.6784956455230713,-0.24130186438560486,-0.07205545902252197,-0.678024411201477,-0.2547481954097748,-0.06778155267238617,-0.6653522849082947,-0.23358240723609924,0.06744053214788437,-0.6339022517204285,-0.22177907824516296,-0.034595806151628494,-0.6101137399673462,-0.10522359609603882,-0.035845234990119934,-0.6268808245658875,-0.22126367688179016,-0.061902161687612534,-0.5988962054252625,-0.2173224538564682,0.13971079885959625,-0.44099023938179016,-0.1772487759590149,-0.05695182457566261,-0.5459540486335754,0.12805509567260742,0.0673467218875885,-0.2683311700820923,-0.21533334255218506,-0.12996213138103485,-0.2793271243572235,0.05218350514769554,-0.14585906267166138,-0.2195667177438736,-0.14669765532016754,-0.284482479095459,-0.2724301218986511,-0.1953960508108139,-0.21289989352226257,-0.21257905662059784,-0.15177498757839203,-0.2968692481517792,-0.2812342941761017,-0.26505208015441895,-0.23635873198509216,-0.2433592975139618,-0.16041812300682068,-0.285738080739975,-0.33003470301628113,-0.2830953896045685,-0.159845232963562,-0.21542657911777496,-0.1448718011379242,-0.28646886348724365,-0.2880581319332123,-0.219241201877594,0.0666435956954956,0.007813739590346813,-0.05435622110962868,-0.06564901769161224,-0.010879687033593655,0.05695478618144989,0.10589994490146637,0.4149516522884369,-0.09433392435312271,-0.022393420338630676,0.339049756526947,0.1449318826198578,0.18614165484905243,0.7799039483070374,-0.031087342649698257,-0.022579731419682503,0.7448224425315857,0.30353817343711853,0.1695818156003952,0.8179356455802917,-0.023587463423609734,-0.027095073834061623,0.780266284942627,0.27393102645874023,0.07305848598480225,0.8206505179405212,-0.11518675833940506,-0.12645229697227478,0.7745115756988525,0.21396209299564362,0.9871794871794872
6,-0.09504576772451401,-0.6482316851615906,-0.24693790078163147,-0.058121684938669205,-0.6640961170196533,-0.258630633354187,-0.0577193908393383,-0.6647891998291016,-0.24493613839149475,-0.05883638933300972,-0.6655697226524353,-0.24652332067489624,-0.0729740783572197,-0.6785082221031189,-0.24295292794704437,-0.07271987199783325,-0.6780621409416199,-0.25648394227027893,-0.06868346035480499,-0.6653493642807007,-0.2351807802915573,0.06679124385118484,-0.6338918805122375,-0.2255360633134842,-0.03452683612704277,-0.6103938221931458,-0.10647328943014145,-0.036454103887081146,-0.6268674731254578,-0.22375395894050598,-0.062394000589847565,-0.5988821983337402,-0.21832048892974854,0.13840444386005402,-0.4417523443698883,-0.18223151564598083,-0.05420388653874397,-0.5481492877006531,0.12852613627910614,0.05871476233005524,-0.27452102303504944,-0.22108180820941925,-0.13043662905693054,-0.2871827781200409,0.052861589938402176,-0.15753081440925598,-0.2335045337677002,-0.1500803828239441,-0.28873616456985474,-0.2905367612838745,-0.19466155767440796,-0.22548918426036835,-0.2290230542421341,-0.1544668972492218,-0.301383376121521,-0.3024263381958008,-0.26386359333992004,-0.2473454475402832,-0.259544312953949,-0.16247941553592682,-0.2909632921218872,-0.35132700204849243,-0.28210046887397766,-0.17091497778892517,-0.2297951877117157,-0.14779819548130035,-0.29128366708755493,-0.3071097731590271,-0.2185075581073761,0.06527157127857208,0.007886791601777077,-0.05599019303917885,-0.06427911669015884,-0.010935567319393158,0.05854161083698273,0.10568778961896896,0.41564616560935974,-0.09377226233482361,-0.022474046796560287,0.33942559361457825,0.15769875049591064,0.18833093345165253,0.7812012434005737,-0.02829478494822979,-0.025066936388611794,0.7464830875396729,0.3231799900531769,0.1724877506494522,0.8192301988601685,-0.02036859095096588,-0.030110035091638565,0.7821773290634155,0.2945507764816284,0.07473304122686386,0.8233572840690613,-0.1090686023235321,-0.1294468343257904,0.7765287160873413,0.2371303290128708,0.9829059829059829
7,-0.09674671292304993,-0.6471610069274902,-0.24709978699684143,-0.060176488012075424,-0.6630023717880249,-0.2599252760410309,-0.05981907993555069,-0.6638259887695312,-0.24613453447818756,-0.06101348623633385,-0.66460782289505,-0.2476935237646103,-0.07411360740661621,-0.6773805022239685,-0.24349965155124664,-0.07382149249315262,-0.6770411133766174,-0.2570854425430298,-0.06996941566467285,-0.6641562581062317,-0.23571409285068512,0.06656916439533234,-0.6331994533538818,-0.22881178557872772,-0.03429226204752922,-0.6098904609680176,-0.10758963227272034,-0.03759374842047691,-0.6255832314491272,-0.22462867200374603,-0.06306064873933792,-0.597546398639679,-0.21847115457057953,0.13638263940811157,-0.44182413816452026,-0.18667970597743988,-0.05065435171127319,-0.5492121577262878,0.12924519181251526,0.047181498259305954,-0.27620574831962585,-0.22587740421295166,-0.13059793412685394,-0.29231107234954834,0.05421682074666023,-0.16707193851470947,-0.24436526000499725,-0.15129797160625458,-0.2904133200645447,-0.3031519949436188,-0.19379138946533203,-0.23430763185024261,-0.2440626323223114,-0.15490826964378357,-0.30260929465293884,-0.31775352358818054,-0.2624252438545227,-0.25273850560188293,-0.2747214436531067,-0.16251836717128754,-0.2927986681461334,-0.36717984080314636,-0.2817035913467407,-0.17863358557224274,-0.2413913756608963,-0.14866797626018524,-0.2932526171207428,-0.3206269145011902,-0.2178187221288681,0.0638597309589386,0.00798722542822361,-0.05760137364268303,-0.0628712922334671,-0.011013241484761238,0.06009042263031006,0.10556631535291672,0.41644051671028137,-0.09156142175197601,-0.022583555430173874,0.3400607705116272,0.16488607227802277,0.18652503192424774,0.7826409339904785,-0.02051280252635479,-0.026157980784773827,0.7467755079269409,0.33860793709754944,0.17031028866767883,0.8206296563148499,-0.011803066357970238,-0.03122827038168907,0.7824927568435669,0.31109628081321716,0.07277759909629822,0.8261976838111877,-0.09733349084854126,-0.13117046654224396,0.7772998809814453,0.2569020688533783,0.9829059829059829
8,-0.09773655235767365,-0.6459640860557556,-0.24705834686756134,-0.061006851494312286,-0.661565899848938,-0.2601202428340912,-0.06070471554994583,-0.6625500321388245,-0.24631264805793762,-0.061948347836732864,-0.6633336544036865,-0.2478535920381546,-0.07448282837867737,-0.6760612726211548,-0.24350470304489136,-0.07416915893554688,-0.6758211255073547,-0.2570890188217163,-0.0704231858253479,-0.6628164649009705,-0.23572146892547607,0.06611446291208267,-0.6308831572532654,-0.22966930270195007,-0.03261030465364456,-0.6083272695541382,-0.10763068497180939,-0.038237735629081726,-0.6236620545387268,-0.2247246950864792,-0.06340400129556656,-0.5957162380218506,-0.21843408048152924,0.13509273529052734,-0.4405326843261719,-0.1878662258386612,-0.04746493697166443,-0.5489696264266968,0.13147638738155365,0.035864438861608505,-0.27564963698387146,-0.22748546302318573,-0.13133537769317627,-0.2981210947036743,0.055693402886390686,-0.1742885708808899,-0.25381654500961304,-0.15127430856227875,-0.29246795177459717,-0.3152615427970886,-0.19342944025993347,-0.24021674692630768,-0.25803086161613464,-0.1546211689710617,-0.30419307947158813,-0.33200889825820923,-0.26209792494773865,-0.2544096112251282,-0.2875235080718994,-0.16230988502502441,-0.29358571767807007,-0.3801249563694,-0.2808004319667816,-0.18360212445259094,-0.2512068450450897,-0.14849060773849487,-0.2949482500553131,-0.332609623670578,-0.2171800434589386,0.06294115632772446,0.008021813817322254,-0.05866190791130066,-0.061960551887750626,-0.011037061922252178,0.06113776937127113,0.10549291968345642,0.41772374510765076,-0.08751100301742554,-0.022656923159956932,0.3420811593532562,0.1662568598985672,0.1855306178331375,0.7840745449066162,-0.009752476587891579,-0.027165740728378296,0.7473363876342773,0.3473396897315979,0.169060617685318,0.8218661546707153,-0.0002912811760324985,-0.0324169285595417,0.7829157114028931,0.32076188921928406,0.0717332661151886,0.8267280459403992,-0.08552014082670212,-0.13234315812587738,0.7771974802017212,0.26650524139404297,0.9786324786324786
9,-0.09916935861110687,-0.6459267735481262,-0.24137438833713531,-0.062180645763874054,-0.6615219712257385,-0.2572634518146515,-0.061635520309209824,-0.6624972224235535,-0.24363963305950165,-0.06299857050180435,-0.6632734537124634,-0.2449495643377304,-0.07461288571357727,-0.6760339140892029,-0.23958036303520203,-0.07433300465345383,-0.6757876873016357,-0.25281596183776855,-0.07057797908782959,-0.6627911925315857,-0.23162247240543365,0.0658118724822998,-0.6306061744689941,-0.22836284339427948,-0.028575778007507324,-0.6086056232452393,-0.10515841841697693,-0.03937658295035362,-0.6235039234161377,-0.2212229073047638,-0.06376250088214874,-0.5956855416297913,-0.21277117729187012,0.13196785748004913,-0.4413657486438751,-0.18673521280288696,-0.0360136516392231,-0.5513662099838257,0.14495494961738586,0.03288216516375542,-0.28186169266700745,-0.22824418544769287,-0.12701934576034546,-0.305766761302948,0.11513026058673859,-0.17960400879383087,-0.2686591148376465,-0.15112289786338806,-0.29242584109306335,-0.32116585969924927,-0.0841774046421051,-0.24510404467582703,-0.27633246779441833,-0.15453080832958221,-0.3037828207015991,-0.3384656608104706,-0.14099520444869995,-0.256540983915329,-0.3062068521976471,-0.16056911647319794,-0.29499030113220215,-0.3870130479335785,-0.15840138494968414,-0.187917098402977,-0.2668650150299072,-0.14823435246944427,-0.2956438958644867,-0.3396807312965393,-0.10562855750322342,0.060031987726688385,0.008135855197906494,-0.060173049569129944,-0.0588536374270916,-0.011116965673863888,0.062399331480264664,0.10413631796836853,0.41686949133872986,-0.08786741644144058,-0.022725563496351242,0.3420567810535431,0.16514872014522552,0.18467649817466736,0.7834490537643433,-0.005665952805429697,-0.02788642980158329,0.748049259185791,0.3428306579589844,0.16808980703353882,0.8208077549934387,0.004386510234326124,-0.03328528627753258,0.7836446166038513,0.31591683626174927,0.06831374764442444,0.8259568214416504,-0.07329132407903671,-0.1327611804008484,0.777030885219574,0.26050037145614624,0.9786324786324786
