frame,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z,height_ratio
0,0.107692063,-0.651529193,-0.238857538,0.091004193,-0.675529957,-0.229579657,0.091603853,-0.676632762,-0.218453079,0.091043651,-0.676380336,-0.223366261,0.084958993,-0.681819797,-0.270787805,0.086628594,-0.680899143,-0.284964204,0.091223158,-0.668338776,-0.263161808,0.02624183,-0.668638647,-0.134609237,-0.028463591,-0.604211748,-0.268499523,0.102520108,-0.64362371,-0.19054088,0.087606415,-0.603715479,-0.257105917,0.065824367,-0.502015531,0.044454835,-0.097365834,-0.536637127,-0.186662897,0.061289258,-0.29545483,0.108484901,-0.124064855,-0.240355283,-0.258606493,0.143866405,-0.147252992,0.090123825,0.01701808,-0.141944602,-0.291401953,0.148260042,-0.130344719,0.102871373,0.077440396,-0.133114964,-0.355830044,0.154155001,-0.133021489,0.080023825,0.12518768,-0.192151234,-0.339064181,0.156798869,-0.125280455,0.079792693,0.042763531,-0.160533711,-0.292887986,0.058796514,-0.001940483,0.10302344,-0.057660308,-0.002518782,-0.101531141,0.116203226,0.378934175,0.186335534,-0.071734011,0.319902211,0.024345154,0.071943864,0.698955536,0.359673768,-0.168010458,0.681869507,0.247254193,0.050582968,0.735225081,0.384872168,-0.170131862,0.71489507,0.229452878,0.138012558,0.768507302,0.362131447,-0.096064009,0.729760766,0.157825619,1
1,0.11715807,-0.649040759,-0.23405236,0.100686453,-0.673168778,-0.225597233,0.101021737,-0.67421782,-0.214548409,0.100698858,-0.674182773,-0.219434813,0.096363887,-0.68002975,-0.267148405,0.098223776,-0.679093421,-0.281358778,0.104105353,-0.66655761,-0.259759814,0.027762379,-0.667757988,-0.13451682,-0.015110653,-0.602217853,-0.268516481,0.106407858,-0.641742051,-0.18661271,0.096528634,-0.601876676,-0.253615975,0.062885329,-0.501997352,0.044339705,-0.098101042,-0.533599734,-0.186405376,0.051362146,-0.29543668,0.109886579,-0.124289773,-0.240095511,-0.253782719,0.138745084,-0.148077399,0.103764109,0.021526817,-0.140235841,-0.272164106,0.142140135,-0.130448326,0.119914323,0.08437711,-0.13109982,-0.332361311,0.150372177,-0.133025542,0.09951447,0.129702836,-0.190849602,-0.315456867,0.153553471,-0.126590371,0.095604688,0.046574481,-0.159099221,-0.272763759,0.058548931,-0.002004995,0.102964349,-0.057465546,-0.002440082,-0.101528972,0.119988441,0.378520697,0.184328169,-0.070610732,0.319666833,0.024221009,0.071201026,0.699096262,0.352905184,-0.159678519,0.680552542,0.252089798,0.049490396,0.735461414,0.377429366,-0.161328927,0.712973893,0.234707341,0.138821468,0.766240001,0.353112996,-0.082456268,0.722059488,0.163127005,1
2,0.126435295,-0.646861136,-0.23292619,0.109989055,-0.671468616,-0.224813804,0.110334963,-0.672408104,-0.213811621,0.110052556,-0.672528625,-0.218655124,0.106272988,-0.678396583,-0.266431779,0.10827098,-0.677401602,-0.28064543,0.114581265,-0.664986432,-0.259079278,0.032381676,-0.667686403,-0.134740651,-0.005135971,-0.600817263,-0.268842846,0.112683766,-0.640463591,-0.18546842,0.105274975,-0.600245655,-0.252603143,0.062090069,-0.502293885,0.044240944,-0.096470147,-0.53261447,-0.186353207,0.046209995,-0.295442253,0.111960262,-0.119923703,-0.23959516,-0.249569342,0.138007343,-0.151296511,0.114558436,0.034057051,-0.139403597,-0.26084137,0.141434103,-0.134219244,0.132504955,0.098620139,-0.130779073,-0.319258213,0.150422335,-0.137059957,0.113742612,0.140617296,-0.190853894,-0.302402318,0.153509617,-0.131038815,0.107528791,0.057942387,-0.158772409,-0.261109263,0.057798751,-0.00193161,0.103008986,-0.056771617,-0.002507995,-0.101666898,0.121510953,0.379567444,0.181894243,-0.070244998,0.319213599,0.012908195,0.068203852,0.704534829,0.346513242,-0.158842012,0.679578304,0.240247965,0.045988094,0.741490006,0.370638222,-0.160577342,0.711609185,0.222603336,0.138832062,0.766946912,0.346081853,-0.079980485,0.716722906,0.150685564,1.004115226
3,0.135360926,-0.643279612,-0.230397463,0.120408297,-0.668964744,-0.22286199,0.120810531,-0.669768751,-0.212039798,0.120521277,-0.670152664,-0.21676892,0.116718642,-0.676021814,-0.2640284,0.118783563,-0.675033331,-0.278188139,0.125347123,-0.662706852,-0.256605446,0.042280845,-0.667660832,-0.134799317,0.006800523,-0.6004017,-0.267968804,0.120723277,-0.637912393,-0.18336606,0.114035681,-0.597652614,-0.249746174,0.063993096,-0.502442122,0.044880956,-0.08916492,-0.532508194,-0.186242789,0.051191285,-0.295518667,0.111959822,-0.098957203,-0.239698261,-0.247597516,0.151134655,-0.156641066,0.112844601,0.056636095,-0.142155573,-0.260959744,0.156153277,-0.141083345,0.129739493,0.120316744,-0.135817289,-0.320135295,0.167695791,-0.144386142,0.110064164,0.160579279,-0.197874844,-0.303723514,0.16818966,-0.137649924,0.105080076,0.079483487,-0.162598297,-0.2613056,0.056971077,-0.001727264,0.103159331,-0.056017146,-0.002742964,-0.101969793,0.122286245,0.380741537,0.180258274,-0.069498554,0.318534136,0.006733834,0.066305213,0.708461642,0.340201974,-0.157910734,0.679032505,0.229599923,0.044122156,0.745520651,0.363873243,-0.159290478,0.71085614,0.21112816,0.139395863,0.766809881,0.341147125,-0.07521449,0.710335195,0.140382245,1.008230453
4,0.142060086,-0.640443623,-0.221170843,0.127526566,-0.666771412,-0.214548126,0.127981618,-0.667556405,-0.203943476,0.127664223,-0.668028772,-0.208514303,0.124645598,-0.673996866,-0.255484849,0.126739427,-0.673011184,-0.269554585,0.133464903,-0.660681367,-0.247982875,0.047873858,-0.667669237,-0.132456496,0.015416247,-0.600328863,-0.263744563,0.126448572,-0.635967553,-0.17507726,0.120629333,-0.595734298,-0.241143346,0.064437784,-0.502753377,0.048983544,-0.080894709,-0.532696843,-0.185312718,0.052542724,-0.295891643,0.115260549,-0.084210001,-0.240301937,-0.246389776,0.163794219,-0.166824028,0.113792792,0.071774811,-0.151034638,-0.260396928,0.172248945,-0.153813735,0.130926713,0.135019973,-0.148075223,-0.319591433,0.186254948,-0.157785624,0.111222818,0.174565792,-0.211818054,-0.303468823,0.182467341,-0.149084941,0.105916239,0.093993664,-0.172934785,-0.260614634,0.055257022,-0.001281378,0.10330981,-0.054352246,-0.003263248,-0.102259755,0.121114984,0.38436538,0.172243237,-0.068927638,0.31843999,0.004434289,0.058114797,0.719876051,0.317292124,-0.158309713,0.678758442,0.222439036,0.035568163,0.75765276,0.339684904,-0.159784973,0.71051836,0.203350946,0.136548549,0.774700403,0.32105267,-0.075770065,0.709094703,0.137168005,1.016460905
5,0.146662176,-0.640577972,-0.218354881,0.132548645,-0.666814387,-0.211611792,0.13310124,-0.667595208,-0.201161817,0.132711917,-0.668077528,-0.205662623,0.129478961,-0.67399621,-0.252518892,0.131730288,-0.673019469,-0.26652512,0.138452709,-0.660698771,-0.244839773,0.054566711,-0.667749524,-0.131429106,0.021757636,-0.600325346,-0.261450022,0.131946519,-0.635969996,-0.172412336,0.125949368,-0.595734298,-0.238386378,0.071171798,-0.502612352,0.051334716,-0.06983275,-0.532889366,-0.18528378,0.065084323,-0.294675827,0.115146682,-0.060476422,-0.242019624,-0.246593907,0.178656369,-0.167702109,0.105073087,0.093289174,-0.158879325,-0.26179561,0.18750523,-0.154488683,0.121552698,0.154970184,-0.155985013,-0.32154277,0.200879633,-0.159450144,0.100795485,0.194649085,-0.219736248,-0.304564208,0.196546182,-0.150379688,0.096665025,0.115317196,-0.180979282,-0.26215592,0.054469258,-0.00058696,0.103425741,-0.05357134,-0.004080792,-0.102505736,0.116943121,0.393542051,0.164162517,-0.067856975,0.318725884,-0.008766535,0.051122613,0.734967232,0.301120341,-0.158424437,0.682301641,0.199238479,0.028181039,0.77302736,0.322826415,-0.160046875,0.714447141,0.179287881,0.128430948,0.789094865,0.305577129,-0.076442957,0.711598217,0.115729786,1.024691358
6,0.151561201,-0.640724242,-0.217329413,0.137879848,-0.666891932,-0.21026659,0.138567239,-0.667676628,-0.199880317,0.138107479,-0.668143988,-0.2043688,0.134379283,-0.674034476,-0.250992298,0.136717498,-0.673063517,-0.265030265,0.143215016,-0.660749733,-0.243110687,0.063106053,-0.667954206,-0.130585179,0.027810402,-0.600329161,-0.259047031,0.138535172,-0.636016369,-0.171424463,0.131354094,-0.595793664,-0.237186417,0.081540741,-0.502414048,0.052625816,-0.060192991,-0.533121705,-0.185212687,0.076435506,-0.291890383,0.114113666,-0.039853964,-0.244066238,-0.247074515,0.186353281,-0.166947082,0.093242772,0.118082993,-0.171946853,-0.267202139,0.194657475,-0.153548658,0.108841136,0.180465445,-0.170464009,-0.328489542,0.207151622,-0.159168497,0.087303475,0.219493106,-0.235565826,-0.313332766,0.203270316,-0.149532273,0.084263965,0.140067488,-0.195054993,-0.267542928,0.054273572,-0.000181053,0.10349793,-0.053384934,-0.004623994,-0.102681145,0.109343432,0.39956075,0.16523701,-0.065655306,0.318679452,-0.014460307,0.049760722,0.738133669,0.307635933,-0.157861605,0.683305562,0.183408439,0.027424145,0.775713921,0.329920858,-0.159449279,0.715603173,0.162356272,0.127696842,0.790049911,0.312176615,-0.075802907,0.712381661,0.099249966,1.028806584
7,0.157668546,-0.641363263,-0.217898577,0.143454209,-0.667232752,-0.210743308,0.144223958,-0.667939484,-0.200264841,0.143804148,-0.668534994,-0.204810679,0.139614806,-0.674102604,-0.25149703,0.142119795,-0.673137188,-0.265506119,0.148272172,-0.660864532,-0.243666232,0.070573375,-0.668465018,-0.130932644,0.032711595,-0.600187898,-0.259207636,0.146064565,-0.636667788,-0.171839163,0.137760043,-0.596137881,-0.237619191,0.090573959,-0.502413929,0.052110672,-0.050850537,-0.533169985,-0.186552748,0.083162189,-0.287716389,0.102415048,-0.026232151,-0.245941564,-0.253701925,0.188840061,-0.163721398,0.064384006,0.134769574,-0.19212456,-0.281210512,0.196947485,-0.149895042,0.078325607,0.197752476,-0.193554431,-0.344533533,0.209246457,-0.157762483,0.056642614,0.235468715,-0.261297703,-0.330476433,0.205270618,-0.147301838,0.054845855,0.156055197,-0.217073455,-0.281683862,0.054077033,0.000305827,0.103611492,-0.053159364,-0.005339224,-0.102916047,0.098043084,0.403947592,0.165974125,-0.06552162,0.318075091,-0.020500403,0.046427656,0.745570123,0.306354612,-0.162681058,0.68514806,0.156336054,0.025000539,0.783445776,0.327896208,-0.164787605,0.717812359,0.133225292,0.127078176,0.798343599,0.31152606,-0.078146063,0.71918416,0.069213182,1.032921811
8,0.170411438,-0.641822159,-0.223425955,0.156170815,-0.667486131,-0.215633824,0.156849861,-0.668137968,-0.205504626,0.156445041,-0.668844998,-0.209684521,0.151318863,-0.674146771,-0.25660035,0.153988555,-0.673182786,-0.270956367,0.159630179,-0.660904944,-0.248589471,0.084667079,-0.668714643,-0.133532926,0.042135827,-0.599579036,-0.26189217,0.159687668,-0.636979818,-0.176529229,0.149511278,-0.596229732,-0.243036821,0.106922328,-0.501856446,0.049778439,-0.042782158,-0.532311261,-0.190297797,0.09406995,-0.282947183,0.089053228,-0.013702571,-0.24510096,-0.268338621,0.195862204,-0.159317821,0.030959003,0.152662411,-0.203036726,-0.315608799,0.20347704,-0.145843893,0.041509718,0.216428071,-0.208059102,-0.382868916,0.216160625,-0.155676708,0.018756129,0.253580362,-0.27803418,-0.36855045,0.211534858,-0.143371314,0.020597015,0.174188197,-0.229394659,-0.316373348,0.05446849,0.000599545,0.103749938,-0.053516187,-0.005822917,-0.103109375,0.093705162,0.410093546,0.167674944,-0.065478824,0.321337432,-0.023235733,0.047130253,0.751080811,0.309072405,-0.165304288,0.697307348,0.148745045,0.025821736,0.788554668,0.330356121,-0.167214572,0.730626523,0.125343859,0.12677379,0.801552296,0.312285721,-0.078374714,0.736379027,0.053225242,1.037037037
9,0.170656621,-0.641855657,-0.22871317,0.156387061,-0.667354524,-0.220534682,0.157164723,-0.667976558,-0.210509524,0.156731263,-0.668752909,-0.214626521,0.151128158,-0.673532128,-0.261375159,0.153680652,-0.672585428,-0.275823504,0.159092754,-0.660376906,-0.253036559,0.088877246,-0.668590188,-0.136602521,0.041824255,-0.59778434,-0.263279855,0.162096322,-0.636883497,-0.181302711,0.150173321,-0.595918536,-0.247411355,0.112722948,-0.500328422,0.048363969,-0.038252011,-0.530876756,-0.191249236,0.096155822,-0.278119713,0.089458287,-0.010780869,-0.242208555,-0.267287552,0.197672516,-0.154392272,0.0391744,0.157516152,-0.211795896,-0.310249954,0.205955416,-0.142349854,0.051591717,0.223595321,-0.220859006,-0.376530439,0.219215527,-0.153022125,0.028875671,0.257383674,-0.292811692,-0.361658424,0.213175833,-0.138814315,0.028898111,0.178396627,-0.240299955,-0.311150968,0.054929573,0.001164184,0.103868246,-0.05394664,-0.006509897,-0.103317708,0.091030121,0.411910474,0.168057531,-0.067892045,0.321406811,-0.02358917,0.04746183,0.753206909,0.311632574,-0.181494638,0.698380411,0.143952161,0.026343191,0.790601373,0.333399862,-0.184466049,0.732108474,0.120075613,0.12696138,0.806344151,0.314871252,-0.09335047,0.741769195,0.048829943,1.041152263
